row_index,local_cluster_uid,cluster_canonical_name,mention_text,mention_key,matched_anchor,matched_anchor_key,matched_anchor_n_mentions,match_score,match_method
416,chunk_000::cluster_014,Gorlois,here,here,here,here,581,1.0,exact
421,chunk_000::cluster_014,Gorlois,here,here,here,here,581,1.0,exact
422,chunk_000::cluster_014,Gorlois,the castle,castle,the castle,castle,80,1.0,exact
423,chunk_000::cluster_014,Gorlois,the castle,castle,the castle,castle,80,1.0,exact
425,chunk_000::cluster_014,Gorlois,the castle,castle,the castle,castle,80,1.0,exact
426,chunk_000::cluster_014,Gorlois,the castle,castle,the castle,castle,80,1.0,exact
427,chunk_000::cluster_014,Gorlois,her husband,her husband,a husband,husband,27,0.5,token_subset
428,chunk_000::cluster_014,Gorlois,the Duke,duke,Duke Marcus,duke marcus,76,0.5,token_subset
434,chunk_000::cluster_014,Gorlois,her castle,her castle,the castle,castle,80,0.5,token_subset
435,chunk_000::cluster_014,Gorlois,her home,her home,home,home,136,0.5,token_subset
439,chunk_000::cluster_014,Gorlois,the Holy Isle,holy isle,the Holy Isle,holy isle,48,1.0,exact
440,chunk_000::cluster_014,Gorlois,a Romanized Duke of Cornwall,romanized duke of cornwall,Duke of Cornwall,duke of cornwall,41,0.75,token_subset
442,chunk_000::cluster_014,Gorlois,the Holy Isle,holy isle,the Holy Isle,holy isle,48,1.0,exact
443,chunk_000::cluster_014,Gorlois,the Holy Isle,holy isle,the Holy Isle,holy isle,48,1.0,exact
462,chunk_000::cluster_014,Gorlois,the Duke of Cornwall,duke of cornwall,Duke of Cornwall,duke of cornwall,41,1.0,exact
467,chunk_000::cluster_014,Gorlois,the daughter who came in the place of the son she should have borne him,daughter who came in the place of the son she should have borne him,a son,son,168,0.07692307692307693,token_subset
468,chunk_000::cluster_014,Gorlois,the son she should have borne him,son she should have borne him,a son,son,168,0.16666666666666666,token_subset
478,chunk_000::cluster_014,Gorlois,Duke of Cornwall,duke of cornwall,Duke of Cornwall,duke of cornwall,41,1.0,exact
480,chunk_000::cluster_014,Gorlois,the Holy Isle,holy isle,the Holy Isle,holy isle,48,1.0,exact
483,chunk_000::cluster_014,Gorlois,"the strange husband who, as yet, was only a voice and a terror in the night",strange husband who as yet was only a voice and a terror in the night,a husband,husband,27,0.07142857142857142,token_subset
530,chunk_000::cluster_048,the Priests,the Priests,priests,priestess,priestess,248,0.875,fuzzy
532,chunk_000::cluster_048,the Priests,the Priests,priests,priestess,priestess,248,0.875,fuzzy
536,chunk_000::cluster_052,all men,all men,all men,all women,all women,33,0.875,fuzzy
540,chunk_000::cluster_056,priestess,priestess,priestess,the priests,priests,483,0.875,fuzzy
541,chunk_000::cluster_058,all men,all men,all men,all women,all women,33,0.875,fuzzy
615,chunk_000::cluster_103,Morgaine,his first child,his first child,a child,child,312,0.3333333333333333,token_subset
616,chunk_000::cluster_103,Morgaine,child,child,a child,child,312,1.0,exact
623,chunk_000::cluster_103,Morgaine,the child,child,a child,child,312,1.0,exact
628,chunk_000::cluster_103,Morgaine,a child,child,a child,child,312,1.0,exact
635,chunk_000::cluster_103,Morgaine,the child,child,a child,child,312,1.0,exact
636,chunk_000::cluster_103,Morgaine,the baby,baby,my baby,my baby,32,0.5,token_subset
648,chunk_000::cluster_103,Morgaine,the child,child,a child,child,312,1.0,exact
651,chunk_000::cluster_103,Morgaine,that child,that child,a child,child,312,0.5,token_subset
653,chunk_000::cluster_103,Morgaine,her daughter,her daughter,a daughter,daughter,35,0.5,token_subset
660,chunk_000::cluster_103,Morgaine,babies,babies,Babes,babes,27,0.9090909090909091,fuzzy
662,chunk_000::cluster_103,Morgaine,a child,child,a child,child,312,1.0,exact
667,chunk_000::cluster_103,Morgaine,the child,child,a child,child,312,1.0,exact
696,chunk_000::cluster_127,Britain,Cornwall,cornwall,Cornwall,cornwall,243,1.0,exact
703,chunk_000::cluster_132,the court,the castle yard,castle yard,the castle,castle,80,0.5,token_subset
708,chunk_000::cluster_132,the court,the hall,hall,the hall,hall,316,1.0,exact
713,chunk_000::cluster_133,Viviane,Sister,sister,The sisters,sisters,46,0.9230769230769231,fuzzy
719,chunk_000::cluster_133,Viviane,Morgause,morgause,Morgause,morgause,4546,1.0,exact
724,chunk_000::cluster_133,Viviane,Morgause,morgause,Morgause,morgause,4546,1.0,exact
732,chunk_000::cluster_133,Viviane,Morgause,morgause,Morgause,morgause,4546,1.0,exact
734,chunk_000::cluster_133,Viviane,Morgause,morgause,Morgause,morgause,4546,1.0,exact
742,chunk_000::cluster_133,Viviane,Morgause,morgause,Morgause,morgause,4546,1.0,exact
746,chunk_000::cluster_133,Viviane,Morgause,morgause,Morgause,morgause,4546,1.0,exact
747,chunk_000::cluster_133,Viviane,Morgause,morgause,Morgause,morgause,4546,1.0,exact
757,chunk_000::cluster_133,Viviane,Morgause,morgause,Morgause,morgause,4546,1.0,exact
761,chunk_000::cluster_133,Viviane,Morgause,morgause,Morgause,morgause,4546,1.0,exact
762,chunk_000::cluster_133,Viviane,Morgause,morgause,Morgause,morgause,4546,1.0,exact
763,chunk_000::cluster_133,Viviane,Morgause,morgause,Morgause,morgause,4546,1.0,exact
771,chunk_000::cluster_133,Viviane,Morgause,morgause,Morgause,morgause,4546,1.0,exact
774,chunk_000::cluster_133,Viviane,Morgause,morgause,Morgause,morgause,4546,1.0,exact
788,chunk_000::cluster_133,Viviane,sister,sister,The sisters,sisters,46,0.9230769230769231,fuzzy
810,chunk_000::cluster_133,Viviane,my lady,my lady,the Lady,lady,374,0.5,token_subset
816,chunk_000::cluster_133,Viviane,the priestess,priestess,priestess,priestess,248,1.0,exact
821,chunk_000::cluster_133,Viviane,the child settle into Viviane,child settle into viviane,a child,child,312,0.25,token_subset
825,chunk_000::cluster_133,Viviane,Morgause,morgause,Morgause,morgause,4546,1.0,exact
870,chunk_000::cluster_159,Ettarr,our mother,our mother,our Mother,our mother,36,1.0,exact
871,chunk_000::cluster_159,Ettarr,Lady of Avalon,lady of avalon,the Lady of Avalon,lady of avalon,57,1.0,exact
894,chunk_000::cluster_179,any man,any man,any man,any woman,any woman,75,0.875,fuzzy
895,chunk_000::cluster_180,any woman,any woman,any woman,any man,any man,52,0.875,fuzzy
941,chunk_000::cluster_215,her mother,My mother,my mother,my mother,my mother,195,1.0,exact
967,chunk_000::cluster_228,the Merlin,Lord Messenger,lord messenger,the messenger,messenger,31,0.5,token_subset
971,chunk_000::cluster_228,the Merlin,Taliesin,taliesin,Taliesin,taliesin,345,1.0,exact
972,chunk_000::cluster_228,the Merlin,Merlin of Britain,merlin of britain,Britain,britain,381,0.3333333333333333,token_subset
973,chunk_000::cluster_228,the Merlin,Druid,druid,Druid,druid,81,1.0,exact
974,chunk_000::cluster_228,the Merlin,Bard,bard,a bard,bard,36,1.0,exact
1012,chunk_000::cluster_258,a priestess,a priestess,priestess,the priests,priests,483,0.875,fuzzy
1028,chunk_001::cluster_000,Morgause,Viviane,viviane,Viviane,viviane,6289,1.0,exact
1032,chunk_001::cluster_000,Morgause,Morgaine,morgaine,Morgaine,morgaine,36775,1.0,exact
1047,chunk_001::cluster_000,Morgause,Morgaine,morgaine,Morgaine,morgaine,36775,1.0,exact
1050,chunk_001::cluster_000,Morgause,the child,child,a child,child,312,1.0,exact
1059,chunk_001::cluster_000,Morgause,Morgaine,morgaine,Morgaine,morgaine,36775,1.0,exact
1061,chunk_001::cluster_000,Morgause,a child,child,a child,child,312,1.0,exact
1062,chunk_001::cluster_000,Morgause,Morgaine,morgaine,Morgaine,morgaine,36775,1.0,exact
1065,chunk_001::cluster_000,Morgause,Morgaine,morgaine,Morgaine,morgaine,36775,1.0,exact
1074,chunk_001::cluster_000,Morgause,Viviane,viviane,Viviane,viviane,6289,1.0,exact
1075,chunk_001::cluster_000,Morgause,Morgaine,morgaine,Morgaine,morgaine,36775,1.0,exact
1076,chunk_001::cluster_000,Morgause,Morgaine,morgaine,Morgaine,morgaine,36775,1.0,exact
1077,chunk_001::cluster_000,Morgause,the child,child,a child,child,312,1.0,exact
1078,chunk_001::cluster_000,Morgause,the baby,baby,my baby,my baby,32,0.5,token_subset
1079,chunk_001::cluster_000,Morgause,Morgaine,morgaine,Morgaine,morgaine,36775,1.0,exact
1085,chunk_001::cluster_000,Morgause,Morgaine,morgaine,Morgaine,morgaine,36775,1.0,exact
1093,chunk_001::cluster_000,Morgause,Morgaine,morgaine,Morgaine,morgaine,36775,1.0,exact
1094,chunk_001::cluster_000,Morgause,the child,child,a child,child,312,1.0,exact
1097,chunk_001::cluster_000,Morgause,that child,that child,a child,child,312,0.5,token_subset
1100,chunk_001::cluster_000,Morgause,her daughter,her daughter,a daughter,daughter,35,0.5,token_subset
1101,chunk_001::cluster_000,Morgause,Viviane,viviane,Viviane,viviane,6289,1.0,exact
1102,chunk_001::cluster_000,Morgause,Morgaine,morgaine,Morgaine,morgaine,36775,1.0,exact
1104,chunk_001::cluster_000,Morgause,Viviane,viviane,Viviane,viviane,6289,1.0,exact
1108,chunk_001::cluster_000,Morgause,Viviane,viviane,Viviane,viviane,6289,1.0,exact
1110,chunk_001::cluster_000,Morgause,Morgaine,morgaine,Morgaine,morgaine,36775,1.0,exact
1112,chunk_001::cluster_000,Morgause,babies,babies,Babes,babes,27,0.9090909090909091,fuzzy
1115,chunk_001::cluster_000,Morgause,Viviane,viviane,Viviane,viviane,6289,1.0,exact
1116,chunk_001::cluster_000,Morgause,Lady of Avalon,lady of avalon,the Lady of Avalon,lady of avalon,57,1.0,exact
1124,chunk_001::cluster_000,Morgause,Viviane,viviane,Viviane,viviane,6289,1.0,exact
1125,chunk_001::cluster_000,Morgause,Viviane,viviane,Viviane,viviane,6289,1.0,exact
1127,chunk_001::cluster_000,Morgause,a child,child,a child,child,312,1.0,exact
1128,chunk_001::cluster_000,Morgause,Viviane,viviane,Viviane,viviane,6289,1.0,exact
1131,chunk_001::cluster_000,Morgause,Morgaine,morgaine,Morgaine,morgaine,36775,1.0,exact
1132,chunk_001::cluster_000,Morgause,Morgaine,morgaine,Morgaine,morgaine,36775,1.0,exact
1133,chunk_001::cluster_000,Morgause,the child,child,a child,child,312,1.0,exact
1134,chunk_001::cluster_000,Morgause,Viviane,viviane,Viviane,viviane,6289,1.0,exact
1135,chunk_001::cluster_000,Morgause,Viviane,viviane,Viviane,viviane,6289,1.0,exact
1137,chunk_001::cluster_000,Morgause,Morgaine,morgaine,Morgaine,morgaine,36775,1.0,exact
1149,chunk_001::cluster_000,Morgause,child,child,a child,child,312,1.0,exact
1158,chunk_001::cluster_000,Morgause,sister,sister,The sisters,sisters,46,0.9230769230769231,fuzzy
1161,chunk_001::cluster_000,Morgause,Morgaine,morgaine,Morgaine,morgaine,36775,1.0,exact
1167,chunk_001::cluster_000,Morgause,Morgaine,morgaine,Morgaine,morgaine,36775,1.0,exact
1169,chunk_001::cluster_000,Morgause,child,child,a child,child,312,1.0,exact
1170,chunk_001::cluster_000,Morgause,Morgaine,morgaine,Morgaine,morgaine,36775,1.0,exact
1196,chunk_001::cluster_003,Igraine,Viviane,viviane,Viviane,viviane,6289,1.0,exact
1298,chunk_001::cluster_003,Igraine,child,child,a child,child,312,1.0,exact
1317,chunk_001::cluster_003,Igraine,sister,sister,The sisters,sisters,46,0.9230769230769231,fuzzy
1319,chunk_001::cluster_003,Igraine,V iviane,v iviane,Viviane,viviane,6289,0.9333333333333333,fuzzy
1343,chunk_001::cluster_003,Igraine,my lady,my lady,the Lady,lady,374,0.5,token_subset
1351,chunk_001::cluster_003,Igraine,the priestess,priestess,priestess,priestess,248,1.0,exact
1354,chunk_001::cluster_003,Igraine,child,child,a child,child,312,1.0,exact
1369,chunk_001::cluster_003,Igraine,Viviane,viviane,Viviane,viviane,6289,1.0,exact
1375,chunk_001::cluster_003,Igraine,Viviane,viviane,Viviane,viviane,6289,1.0,exact
1379,chunk_001::cluster_003,Igraine,Viviane,viviane,Viviane,viviane,6289,1.0,exact
1382,chunk_001::cluster_003,Igraine,Viviane,viviane,Viviane,viviane,6289,1.0,exact
1383,chunk_001::cluster_003,Igraine,Viviane,viviane,Viviane,viviane,6289,1.0,exact
1384,chunk_001::cluster_003,Igraine,Viviane,viviane,Viviane,viviane,6289,1.0,exact
1385,chunk_001::cluster_003,Igraine,The priestess,priestess,priestess,priestess,248,1.0,exact
1388,chunk_001::cluster_003,Igraine,Viviane,viviane,Viviane,viviane,6289,1.0,exact
1394,chunk_001::cluster_003,Igraine,Viviane,viviane,Viviane,viviane,6289,1.0,exact
1405,chunk_001::cluster_003,Igraine,Viviane,viviane,Viviane,viviane,6289,1.0,exact
1411,chunk_001::cluster_003,Igraine,Viviane,viviane,Viviane,viviane,6289,1.0,exact
1418,chunk_001::cluster_003,Igraine,the priestess,priestess,priestess,priestess,248,1.0,exact
1431,chunk_001::cluster_003,Igraine,Viviane,viviane,Viviane,viviane,6289,1.0,exact
1433,chunk_001::cluster_003,Igraine,1,1,the young men-1,young men 1,27,0.3333333333333333,token_subset
1434,chunk_001::cluster_003,Igraine,Viviane,viviane,Viviane,viviane,6289,1.0,exact
1439,chunk_001::cluster_003,Igraine,Viviane,viviane,Viviane,viviane,6289,1.0,exact
1440,chunk_001::cluster_003,Igraine,"King""-her",king her,a king,king,297,0.5,token_subset
1451,chunk_001::cluster_008,Ettarr,her dressing-woman,her dressing woman,her woman,her woman,24,0.6666666666666666,token_subset
1464,chunk_001::cluster_008,Ettarr,A serving-woman,serving woman,A serving-woman,serving woman,26,1.0,exact
1476,chunk_001::cluster_017,there,here,here,here,here,581,1.0,exact
1477,chunk_001::cluster_017,there,here,here,here,here,581,1.0,exact
1479,chunk_001::cluster_018,the Merlin,Gorlois,gorlois,Gorlois,gorlois,3943,1.0,exact
1481,chunk_001::cluster_018,the Merlin,Gorlois,gorlois,Gorlois,gorlois,3943,1.0,exact
1482,chunk_001::cluster_018,the Merlin,Gorlois,gorlois,Gorlois,gorlois,3943,1.0,exact
1483,chunk_001::cluster_018,the Merlin,Gorlois,gorlois,Gorlois,gorlois,3943,1.0,exact
1491,chunk_001::cluster_018,the Merlin,Gorlois,gorlois,Gorlois,gorlois,3943,1.0,exact
1497,chunk_001::cluster_018,the Merlin,Gorlois,gorlois,Gorlois,gorlois,3943,1.0,exact
1499,chunk_001::cluster_018,the Merlin,Gorlois,gorlois,Gorlois,gorlois,3943,1.0,exact
1501,chunk_001::cluster_018,the Merlin,the daughter who came in the place of the son she should have borne him,daughter who came in the place of the son she should have borne him,a son,son,168,0.07692307692307693,token_subset
1502,chunk_001::cluster_018,the Merlin,the son she should have borne him,son she should have borne him,a son,son,168,0.16666666666666666,token_subset
1504,chunk_001::cluster_018,the Merlin,Gorlois,gorlois,Gorlois,gorlois,3943,1.0,exact
1508,chunk_001::cluster_018,the Merlin,Gorlois,gorlois,Gorlois,gorlois,3943,1.0,exact
1515,chunk_001::cluster_018,the Merlin,Lord Messenger,lord messenger,the messenger,messenger,31,0.5,token_subset
1519,chunk_001::cluster_018,the Merlin,Taliesin,taliesin,Taliesin,taliesin,345,1.0,exact
1520,chunk_001::cluster_018,the Merlin,Merlin of Britain,merlin of britain,Britain,britain,381,0.3333333333333333,token_subset
1521,chunk_001::cluster_018,the Merlin,Druid,druid,Druid,druid,81,1.0,exact
1526,chunk_001::cluster_018,the Merlin,Gorlois,gorlois,Gorlois,gorlois,3943,1.0,exact
1531,chunk_001::cluster_018,the Merlin,"the strange husband who, as yet, was only a voice and a terror in the night",strange husband who as yet was only a voice and a terror in the night,a husband,husband,27,0.07142857142857142,token_subset
1532,chunk_001::cluster_018,the Merlin,Gorlois,gorlois,Gorlois,gorlois,3943,1.0,exact
1536,chunk_001::cluster_018,the Merlin,"the Merlin, sitting very erect, ""but the followers of Christ",merlin sitting very erect but the followers of christ,the Christ,christ,307,0.1111111111111111,token_subset
1549,chunk_001::cluster_018,the Merlin,Venerable Father,venerable father,the father,father,44,0.5,token_subset
1555,chunk_001::cluster_018,the Merlin,Father,father,the father,father,44,1.0,exact
1563,chunk_001::cluster_018,the Merlin,the great Druid,great druid,Druid,druid,81,0.5,token_subset
1575,chunk_001::cluster_018,the Merlin,the Horned One,horned one,the Horned One,horned one,293,1.0,exact
1577,chunk_001::cluster_018,the Merlin,Your husband,your husband,a husband,husband,27,0.5,token_subset
1579,chunk_001::cluster_018,the Merlin,Gorlois,gorlois,Gorlois,gorlois,3943,1.0,exact
1592,chunk_001::cluster_025,these Romans,these Roman men,these roman men,these men,these men,68,0.6666666666666666,token_subset
1601,chunk_001::cluster_028,any man,any man,any man,any woman,any woman,75,0.875,fuzzy
1602,chunk_001::cluster_029,any woman,any woman,any woman,any man,any man,52,0.875,fuzzy
1614,chunk_001::cluster_035,her consort,the son he wanted,son he wanted,a son,son,168,0.3333333333333333,token_subset
1646,chunk_001::cluster_061,the Goddess,My mother,my mother,my mother,my mother,195,1.0,exact
1649,chunk_001::cluster_061,the Goddess,"her mind answered her, her mother",her mind answered her her mother,her mother,her mother,38,0.5,token_subset
1650,chunk_001::cluster_061,the Goddess,her mother,her mother,her mother,her mother,38,1.0,exact
1652,chunk_001::cluster_061,the Goddess,our mother,our mother,our Mother,our mother,36,1.0,exact
1653,chunk_001::cluster_061,the Goddess,her mother,her mother,her mother,her mother,38,1.0,exact
1676,chunk_001::cluster_076,Avalon,the Holy Isle,holy isle,the Holy Isle,holy isle,48,1.0,exact
1677,chunk_001::cluster_076,Avalon,the Holy Isle,holy isle,the Holy Isle,holy isle,48,1.0,exact
1683,chunk_001::cluster_076,Avalon,the Holy Isle,holy isle,the Holy Isle,holy isle,48,1.0,exact
1684,chunk_001::cluster_076,Avalon,the Holy Isle,holy isle,the Holy Isle,holy isle,48,1.0,exact
1686,chunk_001::cluster_076,Avalon,there,there,there,there,339,1.0,exact
1727,chunk_001::cluster_111,a priestess,a priestess,priestess,the priests,priests,483,0.875,fuzzy
1740,chunk_001::cluster_124,his father,a son,son,a son,son,168,1.0,exact
1748,chunk_001::cluster_124,his father,Balan,balan,Balan,balan,563,1.0,exact
1750,chunk_001::cluster_124,his father,his foster-mother named her son,his foster mother named her son,her son,her son,61,0.3333333333333333,token_subset
1751,chunk_001::cluster_124,his father,her son,her son,her son,her son,61,1.0,exact
1752,chunk_001::cluster_124,his father,Balin,balin,Balin,balin,548,1.0,exact
1759,chunk_001::cluster_124,his father,the wild folk from the North,wild folk from the north,the North,north,64,0.2,token_subset
1761,chunk_001::cluster_124,his father,the Saxon barbarians,saxon barbarians,a Saxon,saxon,43,0.5,token_subset
1774,chunk_001::cluster_135,the Priests,the Priests,priests,priestess,priestess,248,0.875,fuzzy
1789,chunk_001::cluster_139,this world,their God,their god,their God,their god,24,1.0,exact
1790,chunk_001::cluster_139,this world,their God,their god,their God,their god,24,1.0,exact
1791,chunk_001::cluster_139,this world,the world,world,the worlds,worlds,71,0.9090909090909091,fuzzy
1794,chunk_001::cluster_139,this world,the world,world,the worlds,worlds,71,0.9090909090909091,fuzzy
1795,chunk_001::cluster_139,this world,the world,world,the worlds,worlds,71,0.9090909090909091,fuzzy
1801,chunk_001::cluster_139,this world,their God,their god,their God,their god,24,1.0,exact
1805,chunk_001::cluster_139,this world,their One God,their one god,their God,their god,24,0.6666666666666666,token_subset
1810,chunk_001::cluster_139,this world,the world,world,the worlds,worlds,71,0.9090909090909091,fuzzy
1813,chunk_001::cluster_139,this world,our worlds,our worlds,the worlds,worlds,71,0.5,token_subset
1814,chunk_001::cluster_139,this world,the world,world,the worlds,worlds,71,0.9090909090909091,fuzzy
1815,chunk_001::cluster_139,this world,"the world, they built the great wall to the North",world they built the great wall to the north,the North,north,64,0.125,token_subset
1816,chunk_001::cluster_140,the Christ,no other God save for their God,no other god save for their god,their God,their god,24,0.3333333333333333,token_subset
1820,chunk_001::cluster_140,the Christ,one God,one god,a God,god,1081,0.5,token_subset
1885,chunk_001::cluster_160,a priestess,a priestess,priestess,the priests,priests,483,0.875,fuzzy
1956,chunk_001::cluster_194,all men,all men,all men,all women,all women,33,0.875,fuzzy
2028,chunk_001::cluster_233,Ambrosius,the Pendragon,pendragon,Pendragon,pendragon,57,1.0,exact
2031,chunk_001::cluster_233,Ambrosius,the Pendragon,pendragon,Pendragon,pendragon,57,1.0,exact
2053,chunk_001::cluster_243,The priests,The priests,priests,priestess,priestess,248,0.875,fuzzy
2055,chunk_001::cluster_244,the priests,the Priests,priests,priestess,priestess,248,0.875,fuzzy
2056,chunk_001::cluster_244,the priests,the priests,priests,priestess,priestess,248,0.875,fuzzy
2062,chunk_001::cluster_250,this leader,a leader who will appeal to all the folk of Britain,leader who will appeal to all the folk of britain,Britain,britain,381,0.1,token_subset
2063,chunk_001::cluster_250,this leader,"this Great King""-her",this great king her,a king,king,297,0.25,token_subset
2065,chunk_001::cluster_250,this leader,such a king,such a king,a king,king,297,0.3333333333333333,token_subset
2084,chunk_002::cluster_000,Morgause,child,child,a child,child,312,1.0,exact
2091,chunk_002::cluster_000,Morgause,Morgaine,morgaine,Morgaine,morgaine,36775,1.0,exact
2097,chunk_002::cluster_000,Morgause,Morgaine,morgaine,Morgaine,morgaine,36775,1.0,exact
2099,chunk_002::cluster_000,Morgause,Morgaine,morgaine,Morgaine,morgaine,36775,1.0,exact
2104,chunk_002::cluster_000,Morgause,a child,child,a child,child,312,1.0,exact
2105,chunk_002::cluster_000,Morgause,Morgaine,morgaine,Morgaine,morgaine,36775,1.0,exact
2108,chunk_002::cluster_000,Morgause,Morgaine,morgaine,Morgaine,morgaine,36775,1.0,exact
2114,chunk_002::cluster_000,Morgause,my child,my child,a child,child,312,0.5,token_subset
2115,chunk_002::cluster_000,Morgause,Morgaine,morgaine,Morgaine,morgaine,36775,1.0,exact
2119,chunk_002::cluster_000,Morgause,her child,her child,a child,child,312,0.5,token_subset
2121,chunk_002::cluster_000,Morgause,Morgaine,morgaine,Morgaine,morgaine,36775,1.0,exact
2126,chunk_002::cluster_000,Morgause,Morgaine,morgaine,Morgaine,morgaine,36775,1.0,exact
2128,chunk_002::cluster_000,Morgause,Morgaine,morgaine,Morgaine,morgaine,36775,1.0,exact
2149,chunk_002::cluster_000,Morgause,Morgaine,morgaine,Morgaine,morgaine,36775,1.0,exact
2153,chunk_002::cluster_000,Morgause,the child she gave away to be Gorlois's bride,child she gave away to be gorlois bride,Gorlois,gorlois,3943,0.125,token_subset
2154,chunk_002::cluster_000,Morgause,Morgaine,morgaine,Morgaine,morgaine,36775,1.0,exact
2156,chunk_002::cluster_000,Morgause,Morgaine,morgaine,Morgaine,morgaine,36775,1.0,exact
2158,chunk_002::cluster_000,Morgause,the child,child,a child,child,312,1.0,exact
2160,chunk_002::cluster_001,Igraine,Viviane,viviane,Viviane,viviane,6289,1.0,exact
2165,chunk_002::cluster_001,Igraine,Viviane,viviane,Viviane,viviane,6289,1.0,exact
2168,chunk_002::cluster_001,Igraine,Viviane,viviane,Viviane,viviane,6289,1.0,exact
