relation_id,source_mention_id,predicate_token_i,predicate_start,predicate_end,target_mention_id,source_cluster_id,target_cluster_id,object_property_probabilities_json,selection_method
rel_318_3402_319,318,3402,3402,3404,319,3,11,"{""https://example.org/narrative-character-ontology#travelsTo"": 0.6811059087061461, ""https://example.org/narrative-character-ontology#rulesOver"": 0.06743861747773663, ""https://example.org/narrative-character-ontology#locatedIn"": 0.07421163460218269, ""https://example.org/narrative-character-ontology#leavesPlace"": 0.1772438392139347}",nli_grouped_softmax
rel_320_3412_321,320,3412,3412,3413,321,9,3,"{""https://example.org/narrative-character-ontology#trusts"": 0.13220511672327218, ""https://example.org/narrative-character-ontology#threatens"": 0.05072134452648891, ""https://example.org/narrative-character-ontology#protects"": 0.05929925950043682, ""https://example.org/narrative-character-ontology#loves"": 0.04043858156875927, ""https://example.org/narrative-character-ontology#kills"": 0.015866935942331982, ""https://example.org/narrative-character-ontology#hates"": 0.026780524981991186, ""https://example.org/narrative-character-ontology#guides"": 0.22621005309395642, ""https://example.org/narrative-character-ontology#follows"": 0.07510783970843798, ""https://example.org/narrative-character-ontology#fears"": 0.03425281302939354, ""https://example.org/narrative-character-ontology#distrusts"": 0.043895665023174636, ""https://example.org/narrative-character-ontology#deceives"": 0.1282627883847423, ""https://example.org/narrative-character-ontology#commands"": 0.06263250036748216, ""https://example.org/narrative-character-ontology#betrays"": 0.05022842962472067, ""https://example.org/narrative-character-ontology#attacks"": 0.05409814752481214}",nli_grouped_softmax
rel_328_3449_330,328,3449,3449,3450,330,1,3,"{""https://example.org/narrative-character-ontology#trusts"": 0.12508653204584297, ""https://example.org/narrative-character-ontology#threatens"": 0.05118523270281235, ""https://example.org/narrative-character-ontology#protects"": 0.06370105131933668, ""https://example.org/narrative-character-ontology#loves"": 0.035524290135421834, ""https://example.org/narrative-character-ontology#kills"": 0.013830237476878443, ""https://example.org/narrative-character-ontology#hates"": 0.025141341594387606, ""https://example.org/narrative-character-ontology#guides"": 0.10688774714428656, ""https://example.org/narrative-character-ontology#follows"": 0.06483069579062128, ""https://example.org/narrative-character-ontology#fears"": 0.1394079032761421, ""https://example.org/narrative-character-ontology#distrusts"": 0.09223302490976598, ""https://example.org/narrative-character-ontology#deceives"": 0.12100146212121383, ""https://example.org/narrative-character-ontology#commands"": 0.04395240380282102, ""https://example.org/narrative-character-ontology#betrays"": 0.07527840098644793, ""https://example.org/narrative-character-ontology#attacks"": 0.041939676694021315}",nli_grouped_softmax
rel_329_3449_330,329,3449,3449,3450,330,5,3,"{""https://example.org/narrative-character-ontology#heals"": 0.23635688996796628, ""https://example.org/narrative-character-ontology#empowers"": 0.2904401688469347, ""https://example.org/narrative-character-ontology#curses"": 0.2340599509911226, ""https://example.org/narrative-character-ontology#corrupts"": 0.2391429901939764}",nli_grouped_softmax
rel_337_3492_339,337,3492,3492,3493,339,1,9,"{""https://example.org/narrative-character-ontology#trusts"": 0.08732432622770982, ""https://example.org/narrative-character-ontology#threatens"": 0.06502079878219004, ""https://example.org/narrative-character-ontology#protects"": 0.0669538834027498, ""https://example.org/narrative-character-ontology#loves"": 0.041572611580618354, ""https://example.org/narrative-character-ontology#kills"": 0.025363241732721944, ""https://example.org/narrative-character-ontology#hates"": 0.038598863189080845, ""https://example.org/narrative-character-ontology#guides"": 0.1421572390849389, ""https://example.org/narrative-character-ontology#follows"": 0.07454671307098797, ""https://example.org/narrative-character-ontology#fears"": 0.06854164899151996, ""https://example.org/narrative-character-ontology#distrusts"": 0.09618839944177468, ""https://example.org/narrative-character-ontology#deceives"": 0.09808554562833027, ""https://example.org/narrative-character-ontology#commands"": 0.049853175724074286, ""https://example.org/narrative-character-ontology#betrays"": 0.05931785311204655, ""https://example.org/narrative-character-ontology#attacks"": 0.08647570003125656}",nli_grouped_softmax
rel_338_3492_339,338,3492,3492,3493,339,5,9,"{""https://example.org/narrative-character-ontology#heals"": 0.22118397462436354, ""https://example.org/narrative-character-ontology#empowers"": 0.23729576568823205, ""https://example.org/narrative-character-ontology#curses"": 0.3288097100654212, ""https://example.org/narrative-character-ontology#corrupts"": 0.2127105496219833}",nli_grouped_softmax
rel_349_3557_351,349,3557,3557,3559,351,1,3,"{""https://example.org/narrative-character-ontology#trusts"": 0.15170555029867377, ""https://example.org/narrative-character-ontology#threatens"": 0.051969261069784056, ""https://example.org/narrative-character-ontology#protects"": 0.05247925955881852, ""https://example.org/narrative-character-ontology#loves"": 0.08183900576269322, ""https://example.org/narrative-character-ontology#kills"": 0.02128652589630572, ""https://example.org/narrative-character-ontology#hates"": 0.02701400770929188, ""https://example.org/narrative-character-ontology#guides"": 0.12988741483813512, ""https://example.org/narrative-character-ontology#follows"": 0.09775734610586692, ""https://example.org/narrative-character-ontology#fears"": 0.03049154053152329, ""https://example.org/narrative-character-ontology#distrusts"": 0.07013746471683413, ""https://example.org/narrative-character-ontology#deceives"": 0.08427209988587857, ""https://example.org/narrative-character-ontology#commands"": 0.08460193155914207, ""https://example.org/narrative-character-ontology#betrays"": 0.07755931787407946, ""https://example.org/narrative-character-ontology#attacks"": 0.03899927419297318}",nli_grouped_softmax
rel_350_3557_351,350,3557,3557,3559,351,5,3,"{""https://example.org/narrative-character-ontology#heals"": 0.20227357573272, ""https://example.org/narrative-character-ontology#empowers"": 0.31512849977208346, ""https://example.org/narrative-character-ontology#curses"": 0.24542232239061565, ""https://example.org/narrative-character-ontology#corrupts"": 0.23717560210458088}",nli_grouped_softmax
rel_359_3599_361,359,3599,3599,3600,361,1,3,"{""https://example.org/narrative-character-ontology#trusts"": 0.11485006335064801, ""https://example.org/narrative-character-ontology#threatens"": 0.06123514140747745, ""https://example.org/narrative-character-ontology#protects"": 0.07532051044090125, ""https://example.org/narrative-character-ontology#loves"": 0.18024392537356407, ""https://example.org/narrative-character-ontology#kills"": 0.024886627368443544, ""https://example.org/narrative-character-ontology#hates"": 0.03685195723265016, ""https://example.org/narrative-character-ontology#guides"": 0.0826426522426432, ""https://example.org/narrative-character-ontology#follows"": 0.05237719206989511, ""https://example.org/narrative-character-ontology#fears"": 0.05227499270319094, ""https://example.org/narrative-character-ontology#distrusts"": 0.07068800643203714, ""https://example.org/narrative-character-ontology#deceives"": 0.0819995220205537, ""https://example.org/narrative-character-ontology#commands"": 0.04333749110361325, ""https://example.org/narrative-character-ontology#betrays"": 0.08112338203523299, ""https://example.org/narrative-character-ontology#attacks"": 0.04216853621914929}",nli_grouped_softmax
rel_360_3599_361,360,3599,3599,3600,361,5,3,"{""https://example.org/narrative-character-ontology#heals"": 0.19938339292756546, ""https://example.org/narrative-character-ontology#empowers"": 0.20752848997735468, ""https://example.org/narrative-character-ontology#curses"": 0.32426390110459824, ""https://example.org/narrative-character-ontology#corrupts"": 0.2688242159904817}",nli_grouped_softmax
rel_375_3689_376,375,3689,3689,3691,376,3,9,"{""https://example.org/narrative-character-ontology#trusts"": 0.08137735614623444, ""https://example.org/narrative-character-ontology#threatens"": 0.06772824521027727, ""https://example.org/narrative-character-ontology#protects"": 0.07765081569368561, ""https://example.org/narrative-character-ontology#loves"": 0.0283992483789657, ""https://example.org/narrative-character-ontology#kills"": 0.016055479276937037, ""https://example.org/narrative-character-ontology#hates"": 0.020138082602099844, ""https://example.org/narrative-character-ontology#guides"": 0.2568548442043914, ""https://example.org/narrative-character-ontology#follows"": 0.08972534699002663, ""https://example.org/narrative-character-ontology#fears"": 0.07644695138099712, ""https://example.org/narrative-character-ontology#distrusts"": 0.04148238707370291, ""https://example.org/narrative-character-ontology#deceives"": 0.09275451961356646, ""https://example.org/narrative-character-ontology#commands"": 0.05560302906103309, ""https://example.org/narrative-character-ontology#betrays"": 0.045648559639530524, ""https://example.org/narrative-character-ontology#attacks"": 0.05013513472855194}",nli_grouped_softmax
rel_384_3722_385,384,3722,3722,3725,385,5,1,"{""https://example.org/narrative-character-ontology#heals"": 0.26312100746561723, ""https://example.org/narrative-character-ontology#empowers"": 0.22374447313878545, ""https://example.org/narrative-character-ontology#curses"": 0.23084688512530194, ""https://example.org/narrative-character-ontology#corrupts"": 0.28228763427029546}",nli_grouped_softmax
rel_446_4166_447,446,4166,4166,4168,447,3,4,"{""https://example.org/narrative-character-ontology#usesObject"": 0.5888361896530439, ""https://example.org/narrative-character-ontology#possessesObject"": 0.23699826349605518, ""https://example.org/narrative-character-ontology#destroysObject"": 0.059224426351949674, ""https://example.org/narrative-character-ontology#createsObject"": 0.11494112049895142}",nli_grouped_softmax
rel_456_4243_458,456,4243,4243,4245,458,6,11,"{""https://example.org/narrative-character-ontology#travelsTo"": 0.7924691805392671, ""https://example.org/narrative-character-ontology#rulesOver"": 0.0332566643496247, ""https://example.org/narrative-character-ontology#locatedIn"": 0.058310292183496745, ""https://example.org/narrative-character-ontology#leavesPlace"": 0.1159638629276114}",nli_grouped_softmax
rel_457_4243_458,457,4243,4243,4245,458,15,11,"{""https://example.org/narrative-character-ontology#travelsTo"": 0.8708667866185199, ""https://example.org/narrative-character-ontology#rulesOver"": 0.01881262307391716, ""https://example.org/narrative-character-ontology#locatedIn"": 0.038450505185225345, ""https://example.org/narrative-character-ontology#leavesPlace"": 0.07187008512233758}",nli_grouped_softmax
rel_463_4288_464,463,4288,4288,4292,464,4,3,"{""https://example.org/narrative-character-ontology#heals"": 0.3607314810960182, ""https://example.org/narrative-character-ontology#empowers"": 0.23530622903812923, ""https://example.org/narrative-character-ontology#curses"": 0.18183056067400524, ""https://example.org/narrative-character-ontology#corrupts"": 0.2221317291918472}",nli_grouped_softmax
rel_529_4905_530,529,4905,4905,4906,530,5,3,"{""https://example.org/narrative-character-ontology#heals"": 0.27857667492237886, ""https://example.org/narrative-character-ontology#empowers"": 0.25764130719167855, ""https://example.org/narrative-character-ontology#curses"": 0.22080312345378994, ""https://example.org/narrative-character-ontology#corrupts"": 0.24297889443215262}",nli_grouped_softmax
rel_531_4913_532,531,4913,4913,4914,532,5,3,"{""https://example.org/narrative-character-ontology#heals"": 0.3239724471543673, ""https://example.org/narrative-character-ontology#empowers"": 0.2728121525722251, ""https://example.org/narrative-character-ontology#curses"": 0.20633201559233916, ""https://example.org/narrative-character-ontology#corrupts"": 0.19688338468106853}",nli_grouped_softmax
rel_559_5123_560,559,5123,5123,5125,560,3,0,"{""https://example.org/narrative-character-ontology#travelsTo"": 0.7292873069065646, ""https://example.org/narrative-character-ontology#rulesOver"": 0.03788473399962468, ""https://example.org/narrative-character-ontology#locatedIn"": 0.04516531766907504, ""https://example.org/narrative-character-ontology#leavesPlace"": 0.1876626414247356}",nli_grouped_softmax
rel_562_5139_564,562,5139,5139,5140,564,3,5,"{""https://example.org/narrative-character-ontology#usesObject"": 0.4778045080855694, ""https://example.org/narrative-character-ontology#possessesObject"": 0.2078220404411826, ""https://example.org/narrative-character-ontology#destroysObject"": 0.1061451119620522, ""https://example.org/narrative-character-ontology#createsObject"": 0.20822833951119585}",nli_grouped_softmax
rel_562_5139_565,562,5139,5139,5140,565,3,7,"{""https://example.org/narrative-character-ontology#usesObject"": 0.40405961120032413, ""https://example.org/narrative-character-ontology#possessesObject"": 0.3001250251387672, ""https://example.org/narrative-character-ontology#destroysObject"": 0.10392321023607437, ""https://example.org/narrative-character-ontology#createsObject"": 0.19189215342483426}",nli_grouped_softmax
rel_571_5200_572,571,5200,5200,5201,572,3,14,"{""https://example.org/narrative-character-ontology#trusts"": 0.1784764068446177, ""https://example.org/narrative-character-ontology#threatens"": 0.034904664739837214, ""https://example.org/narrative-character-ontology#protects"": 0.09770154331999807, ""https://example.org/narrative-character-ontology#loves"": 0.029855541886451915, ""https://example.org/narrative-character-ontology#kills"": 0.01068698590279992, ""https://example.org/narrative-character-ontology#hates"": 0.02619349520815441, ""https://example.org/narrative-character-ontology#guides"": 0.1389297120724778, ""https://example.org/narrative-character-ontology#follows"": 0.08740821142190017, ""https://example.org/narrative-character-ontology#fears"": 0.054752103767957395, ""https://example.org/narrative-character-ontology#distrusts"": 0.17717398204353538, ""https://example.org/narrative-character-ontology#deceives"": 0.04386584966729424, ""https://example.org/narrative-character-ontology#commands"": 0.027236925435714526, ""https://example.org/narrative-character-ontology#betrays"": 0.057773299954240034, ""https://example.org/narrative-character-ontology#attacks"": 0.03504127773502106}",nli_grouped_softmax
rel_597_5397_598,597,5397,5397,5401,598,14,3,"{""https://example.org/narrative-character-ontology#trusts"": 0.2041598021308906, ""https://example.org/narrative-character-ontology#threatens"": 0.02870263609275731, ""https://example.org/narrative-character-ontology#protects"": 0.052483802252522846, ""https://example.org/narrative-character-ontology#loves"": 0.08034146336933837, ""https://example.org/narrative-character-ontology#kills"": 0.012962584514658683, ""https://example.org/narrative-character-ontology#hates"": 0.022794521419533018, ""https://example.org/narrative-character-ontology#guides"": 0.18643501223086395, ""https://example.org/narrative-character-ontology#follows"": 0.07940545696969548, ""https://example.org/narrative-character-ontology#fears"": 0.043003686452378176, ""https://example.org/narrative-character-ontology#distrusts"": 0.08962737908684285, ""https://example.org/narrative-character-ontology#deceives"": 0.07666235990074204, ""https://example.org/narrative-character-ontology#commands"": 0.04266902910936864, ""https://example.org/narrative-character-ontology#betrays"": 0.05436175336585707, ""https://example.org/narrative-character-ontology#attacks"": 0.02639051310455089}",nli_grouped_softmax
rel_623_5570_624,623,5570,5570,5572,624,14,3,"{""https://example.org/narrative-character-ontology#trusts"": 0.1353726183390767, ""https://example.org/narrative-character-ontology#threatens"": 0.036116219194376104, ""https://example.org/narrative-character-ontology#protects"": 0.08613214395760406, ""https://example.org/narrative-character-ontology#loves"": 0.032628284979577406, ""https://example.org/narrative-character-ontology#kills"": 0.0192562522383545, ""https://example.org/narrative-character-ontology#hates"": 0.02345541592704721, ""https://example.org/narrative-character-ontology#guides"": 0.14298198053901146, ""https://example.org/narrative-character-ontology#follows"": 0.1213472308161797, ""https://example.org/narrative-character-ontology#fears"": 0.06400797433634492, ""https://example.org/narrative-character-ontology#distrusts"": 0.0804409439447098, ""https://example.org/narrative-character-ontology#deceives"": 0.06887201052003326, ""https://example.org/narrative-character-ontology#commands"": 0.07873115319878884, ""https://example.org/narrative-character-ontology#betrays"": 0.06119624305252065, ""https://example.org/narrative-character-ontology#attacks"": 0.049461528956375414}",nli_grouped_softmax
rel_643_5674_646,643,5674,5674,5675,646,3,14,"{""https://example.org/narrative-character-ontology#trusts"": 0.10936861437323683, ""https://example.org/narrative-character-ontology#threatens"": 0.060046219165307696, ""https://example.org/narrative-character-ontology#protects"": 0.07672532010460822, ""https://example.org/narrative-character-ontology#loves"": 0.04532526417568556, ""https://example.org/narrative-character-ontology#kills"": 0.017440349529343764, ""https://example.org/narrative-character-ontology#hates"": 0.035299351232942214, ""https://example.org/narrative-character-ontology#guides"": 0.12453748720118143, ""https://example.org/narrative-character-ontology#follows"": 0.07207676795481435, ""https://example.org/narrative-character-ontology#fears"": 0.06442018947219685, ""https://example.org/narrative-character-ontology#distrusts"": 0.1195328402709744, ""https://example.org/narrative-character-ontology#deceives"": 0.0996785514170088, ""https://example.org/narrative-character-ontology#commands"": 0.044188914749239236, ""https://example.org/narrative-character-ontology#betrays"": 0.08459608784704159, ""https://example.org/narrative-character-ontology#attacks"": 0.04676404250641883}",nli_grouped_softmax
rel_644_5674_645,644,5674,5674,5675,645,14,3,"{""https://example.org/narrative-character-ontology#trusts"": 0.10505910529383349, ""https://example.org/narrative-character-ontology#threatens"": 0.06523268189113655, ""https://example.org/narrative-character-ontology#protects"": 0.06957558561056806, ""https://example.org/narrative-character-ontology#loves"": 0.05021138778834116, ""https://example.org/narrative-character-ontology#kills"": 0.018435694877259007, ""https://example.org/narrative-character-ontology#hates"": 0.035884460597340774, ""https://example.org/narrative-character-ontology#guides"": 0.11572339142528701, ""https://example.org/narrative-character-ontology#follows"": 0.06664932868592512, ""https://example.org/narrative-character-ontology#fears"": 0.07220599670782363, ""https://example.org/narrative-character-ontology#distrusts"": 0.13049305074449327, ""https://example.org/narrative-character-ontology#deceives"": 0.09454296141542427, ""https://example.org/narrative-character-ontology#commands"": 0.04680215970234354, ""https://example.org/narrative-character-ontology#betrays"": 0.07907078088035534, ""https://example.org/narrative-character-ontology#attacks"": 0.05011341437986867}",nli_grouped_softmax
rel_651_5703_652,651,5703,5703,5705,652,3,11,"{""https://example.org/narrative-character-ontology#travelsTo"": 0.7735873531794167, ""https://example.org/narrative-character-ontology#rulesOver"": 0.0347950834280221, ""https://example.org/narrative-character-ontology#locatedIn"": 0.05087435209739838, ""https://example.org/narrative-character-ontology#leavesPlace"": 0.14074321129516268}",nli_grouped_softmax
rel_679_5819_681,679,5819,5819,5821,681,3,11,"{""https://example.org/narrative-character-ontology#travelsTo"": 0.6761078589104922, ""https://example.org/narrative-character-ontology#rulesOver"": 0.07446267033033373, ""https://example.org/narrative-character-ontology#locatedIn"": 0.056758961478873625, ""https://example.org/narrative-character-ontology#leavesPlace"": 0.19267050928030038}",nli_grouped_softmax
rel_680_5819_681,680,5819,5819,5821,681,14,11,"{""https://example.org/narrative-character-ontology#travelsTo"": 0.7012481111931377, ""https://example.org/narrative-character-ontology#rulesOver"": 0.07376679059172143, ""https://example.org/narrative-character-ontology#locatedIn"": 0.05728157110856539, ""https://example.org/narrative-character-ontology#leavesPlace"": 0.16770352710657557}",nli_grouped_softmax
rel_680_5819_682,680,5819,5819,5825,682,14,3,"{""https://example.org/narrative-character-ontology#trusts"": 0.11843719223119137, ""https://example.org/narrative-character-ontology#threatens"": 0.05671590436682987, ""https://example.org/narrative-character-ontology#protects"": 0.07974826486086078, ""https://example.org/narrative-character-ontology#loves"": 0.033439383739289064, ""https://example.org/narrative-character-ontology#kills"": 0.014466617216204222, ""https://example.org/narrative-character-ontology#hates"": 0.02629818654639113, ""https://example.org/narrative-character-ontology#guides"": 0.15386899317470432, ""https://example.org/narrative-character-ontology#follows"": 0.07990417539748795, ""https://example.org/narrative-character-ontology#fears"": 0.0722579367158411, ""https://example.org/narrative-character-ontology#distrusts"": 0.09098647978592934, ""https://example.org/narrative-character-ontology#deceives"": 0.1065819365579725, ""https://example.org/narrative-character-ontology#commands"": 0.047666390444180556, ""https://example.org/narrative-character-ontology#betrays"": 0.06996643375076361, ""https://example.org/narrative-character-ontology#attacks"": 0.049662105212354146}",nli_grouped_softmax
rel_683_5830_684,683,5830,5830,5831,684,9,3,"{""https://example.org/narrative-character-ontology#trusts"": 0.10309132650998962, ""https://example.org/narrative-character-ontology#threatens"": 0.061378559049491396, ""https://example.org/narrative-character-ontology#protects"": 0.06741115933756284, ""https://example.org/narrative-character-ontology#loves"": 0.05128370564757642, ""https://example.org/narrative-character-ontology#kills"": 0.029796898860723765, ""https://example.org/narrative-character-ontology#hates"": 0.038635438379702555, ""https://example.org/narrative-character-ontology#guides"": 0.14215305411458753, ""https://example.org/narrative-character-ontology#follows"": 0.06533713600454623, ""https://example.org/narrative-character-ontology#fears"": 0.04259880486288091, ""https://example.org/narrative-character-ontology#distrusts"": 0.0639483801666941, ""https://example.org/narrative-character-ontology#deceives"": 0.1357759207747156, ""https://example.org/narrative-character-ontology#commands"": 0.059606444535730156, ""https://example.org/narrative-character-ontology#betrays"": 0.07274662025669727, ""https://example.org/narrative-character-ontology#attacks"": 0.06623655149910154}",nli_grouped_softmax
rel_683_5830_685,683,5830,5830,5831,685,9,14,"{""https://example.org/narrative-character-ontology#trusts"": 0.11204460850072953, ""https://example.org/narrative-character-ontology#threatens"": 0.06427900230593149, ""https://example.org/narrative-character-ontology#protects"": 0.06991060781135415, ""https://example.org/narrative-character-ontology#loves"": 0.049284420636855245, ""https://example.org/narrative-character-ontology#kills"": 0.022170883958922027, ""https://example.org/narrative-character-ontology#hates"": 0.042237613730674084, ""https://example.org/narrative-character-ontology#guides"": 0.13957800836040654, ""https://example.org/narrative-character-ontology#follows"": 0.06516385178333266, ""https://example.org/narrative-character-ontology#fears"": 0.05979771172066356, ""https://example.org/narrative-character-ontology#distrusts"": 0.08109772384384702, ""https://example.org/narrative-character-ontology#deceives"": 0.11160778796931986, ""https://example.org/narrative-character-ontology#commands"": 0.05455288071998295, ""https://example.org/narrative-character-ontology#betrays"": 0.06657900380665421, ""https://example.org/narrative-character-ontology#attacks"": 0.061695894851326455}",nli_grouped_softmax
rel_689_5851_690,689,5851,5851,5853,690,14,3,"{""https://example.org/narrative-character-ontology#trusts"": 0.12311731804331535, ""https://example.org/narrative-character-ontology#threatens"": 0.05852683472269013, ""https://example.org/narrative-character-ontology#protects"": 0.07603578709383652, ""https://example.org/narrative-character-ontology#loves"": 0.03797272636383824, ""https://example.org/narrative-character-ontology#kills"": 0.013592585017703922, ""https://example.org/narrative-character-ontology#hates"": 0.029343048644659805, ""https://example.org/narrative-character-ontology#guides"": 0.1406730617861835, ""https://example.org/narrative-character-ontology#follows"": 0.0975365861097591, ""https://example.org/narrative-character-ontology#fears"": 0.07603578709383652, ""https://example.org/narrative-character-ontology#distrusts"": 0.0835089750967702, ""https://example.org/narrative-character-ontology#deceives"": 0.09772727341195542, ""https://example.org/narrative-character-ontology#commands"": 0.05524999084903088, ""https://example.org/narrative-character-ontology#betrays"": 0.05633969927598021, ""https://example.org/narrative-character-ontology#attacks"": 0.05434032649044035}",nli_grouped_softmax
rel_693_5863_694,693,5863,5863,5864,694,9,3,"{""https://example.org/narrative-character-ontology#trusts"": 0.08625080546933836, ""https://example.org/narrative-character-ontology#threatens"": 0.07626487814318665, ""https://example.org/narrative-character-ontology#protects"": 0.0699845861288431, ""https://example.org/narrative-character-ontology#loves"": 0.04106153908296024, ""https://example.org/narrative-character-ontology#kills"": 0.024905082388803953, ""https://example.org/narrative-character-ontology#hates"": 0.05579657678926649, ""https://example.org/narrative-character-ontology#guides"": 0.10485431333408612, ""https://example.org/narrative-character-ontology#follows"": 0.05813268932630181, ""https://example.org/narrative-character-ontology#fears"": 0.057793064067331514, ""https://example.org/narrative-character-ontology#distrusts"": 0.07334321654288561, ""https://example.org/narrative-character-ontology#deceives"": 0.12834479228202508, ""https://example.org/narrative-character-ontology#commands"": 0.06273377755965368, ""https://example.org/narrative-character-ontology#betrays"": 0.09362436361481999, ""https://example.org/narrative-character-ontology#attacks"": 0.06691031527049746}",nli_grouped_softmax
