global_cluster_uid,n_local_clusters,n_mentions,canonical_name,canonical_names,local_cluster_uids,chunk_min,chunk_max
global_cluster_000021,4,7,a traveller,a traveller|the traveller,chunk_000::cluster_021|chunk_000::cluster_028|chunk_001::cluster_207|chunk_002::cluster_101,0,2
global_cluster_000022,1,1,he,he,chunk_000::cluster_022,0,0
global_cluster_000023,1,1,his,his,chunk_000::cluster_023,0,0
global_cluster_000024,1,1,his barge,his barge,chunk_000::cluster_024,0,0
global_cluster_000025,5,20,the shores of the Summer Sea,the sea|the shores of the summer sea|the summer sea,chunk_000::cluster_081|chunk_000::cluster_253|chunk_001::cluster_107|chunk_001::cluster_208|chunk_002::cluster_110,0,2
global_cluster_000026,6,10,the monks,glastonbury of the monks|the monks,chunk_000::cluster_025|chunk_000::cluster_026|chunk_001::cluster_126|chunk_001::cluster_178|chunk_002::cluster_014|chunk_002::cluster_069,0,2
global_cluster_000027,1,1,all educated men,all educated men,chunk_000::cluster_029,0,0
global_cluster_000028,1,1,our,our,chunk_000::cluster_030,0,0
global_cluster_000029,1,1,men,men,chunk_000::cluster_031,0,0
global_cluster_000030,3,3,we,we,chunk_000::cluster_032|chunk_001::cluster_177|chunk_002::cluster_068,0,2
global_cluster_000031,8,9,us,the world around us|us,chunk_000::cluster_033|chunk_000::cluster_034|chunk_000::cluster_062|chunk_001::cluster_114|chunk_001::cluster_115|chunk_001::cluster_119|chunk_002::cluster_002|chunk_002::cluster_007,0,2
global_cluster_000032,1,1,"their God, who created the world once and for all to be unchanging","their god, who created the world once and for all to be unchanging",chunk_000::cluster_035,0,0
global_cluster_000033,1,1,men,men,chunk_000::cluster_036,0,0
global_cluster_000034,1,1,another world lying in the darkness,another world lying in the darkness,chunk_000::cluster_037,0,0
global_cluster_000035,1,2,Hell,hell,chunk_000::cluster_040,0,0
global_cluster_000036,1,1,their slave-nuns,their slave-nuns,chunk_000::cluster_041,0,0
global_cluster_000037,3,8,the court,arthur's court|the court,chunk_000::cluster_042|chunk_000::cluster_131|chunk_001::cluster_058,0,1
global_cluster_000038,1,1,Camelot,camelot,chunk_000::cluster_043,0,0
global_cluster_000039,4,11,there,there,chunk_000::cluster_044|chunk_000::cluster_119|chunk_000::cluster_166|chunk_001::cluster_017,0,1
global_cluster_000040,1,1,wise-woman,wise-woman,chunk_000::cluster_045,0,0
global_cluster_000041,1,1,my great mistress,my great mistress,chunk_000::cluster_046,0,0
global_cluster_000042,1,102,Viviane,viviane,chunk_000::cluster_132,0,0
global_cluster_000043,9,15,eldest daughter of the ancient priestess of the Lake,eldest daughter of the ancient priestess of the lake|lady of the lake|the ancient priestess of the lake|the lady of the lake|the lake,chunk_000::cluster_047|chunk_000::cluster_141|chunk_000::cluster_238|chunk_000::cluster_240|chunk_000::cluster_241|chunk_001::cluster_091|chunk_001::cluster_092|chunk_001::cluster_095|chunk_001::cluster_096,0,1
global_cluster_000044,1,1,my enemy,my enemy,chunk_000::cluster_049,0,0
global_cluster_000045,1,1,the enemy of my Goddess,the enemy of my goddess,chunk_000::cluster_050,0,0
global_cluster_000046,1,1,"a dying man in need of the Mother's aid, where all men come at last","a dying man in need of the mother's aid, where all men come at last",chunk_000::cluster_051,0,0
global_cluster_000047,1,1,all men,all men,chunk_000::cluster_052,0,0
global_cluster_000048,1,1,their ever- virgin Mary,their ever- virgin mary,chunk_000::cluster_053,0,0
global_cluster_000049,1,1,foe,foe,chunk_000::cluster_055,0,0
global_cluster_000050,1,1,all men,all men,chunk_000::cluster_058,0,0
global_cluster_000051,1,1,the dark world behind our own,the dark world behind our own,chunk_000::cluster_060,0,0
global_cluster_000052,1,1,our,our,chunk_000::cluster_061,0,0
global_cluster_000053,1,1,my hearer,my hearer,chunk_000::cluster_063,0,0
global_cluster_000054,1,1,men,men,chunk_000::cluster_064,0,0
global_cluster_000055,1,1,women,women,chunk_000::cluster_065,0,0
global_cluster_000056,12,16,they,they,chunk_000::cluster_066|chunk_000::cluster_115|chunk_000::cluster_172|chunk_000::cluster_185|chunk_001::cluster_024|chunk_001::cluster_236|chunk_001::cluster_259|chunk_002::cluster_018|chunk_002::cluster_130|chunk_002::cluster_157|chunk_002::cluster_174|chunk_002::cluster_181,0,2
global_cluster_000057,1,1,your,your,chunk_000::cluster_068,0,0
global_cluster_000058,1,1,your,your,chunk_000::cluster_069,0,0
global_cluster_000059,5,5,you,you,chunk_000::cluster_070|chunk_000::cluster_071|chunk_000::cluster_086|chunk_000::cluster_254|chunk_001::cluster_108,0,1
global_cluster_000060,1,1,my own novices,my own novices,chunk_000::cluster_074,0,0
global_cluster_000061,1,1,every priestess who comes after me,every priestess who comes after me,chunk_000::cluster_075,0,0
global_cluster_000062,1,1,all the Goddesses,all the goddesses,chunk_000::cluster_076,0,0
global_cluster_000063,5,10,no Goddess,no goddess|one goddess|the goddess,chunk_000::cluster_077|chunk_001::cluster_143|chunk_001::cluster_148|chunk_002::cluster_033|chunk_002::cluster_038,0,2
global_cluster_000064,1,1,one Initiator,one initiator,chunk_000::cluster_078,0,0
global_cluster_000065,1,3,every man,every man,chunk_000::cluster_079,0,0
global_cluster_000066,1,1,the God within,the god within,chunk_000::cluster_082,0,0
global_cluster_000067,2,2,the road to Glastonbury,glastonbury|the road to glastonbury,chunk_000::cluster_083|chunk_000::cluster_084,0,0
global_cluster_000068,2,5,Tintagel,tintagel,chunk_000::cluster_087|chunk_001::cluster_085,0,1
global_cluster_000069,1,1,a haunted place,a haunted place,chunk_000::cluster_088,0,0
global_cluster_000070,1,1,the headland,the headland,chunk_000::cluster_090,0,0
global_cluster_000071,1,1,no man,no man,chunk_000::cluster_091,0,0
global_cluster_000072,1,1,woman,woman,chunk_000::cluster_092,0,0
global_cluster_000073,1,1,woman within,woman within,chunk_000::cluster_093,0,0
global_cluster_000074,1,1,the crags at the far end of the long causeway into the sea,the crags at the far end of the long causeway into the sea,chunk_000::cluster_094,0,0
global_cluster_000075,3,8,the causeway,soldiers in the fort at the landward end of the causeway|the causeway,chunk_000::cluster_095|chunk_000::cluster_128|chunk_001::cluster_059,0,1
global_cluster_000076,2,2,the ancient folk of Ys,the ancient folk of ys|ys,chunk_000::cluster_096|chunk_000::cluster_111,0,0
global_cluster_000077,1,1,the shoreline,the shoreline,chunk_000::cluster_097,0,0
global_cluster_000078,3,3,a great land,a great land|land|the land,chunk_000::cluster_098|chunk_000::cluster_116|chunk_000::cluster_118,0,0
global_cluster_000079,1,1,the coast,the coast,chunk_000::cluster_099,0,0
global_cluster_000080,1,1,water,water,chunk_000::cluster_100,0,0
global_cluster_000081,1,57,Morgaine,morgaine,chunk_000::cluster_103,0,0
global_cluster_000082,1,1,the mainland,the mainland,chunk_000::cluster_101,0,0
global_cluster_000083,1,3,the herdsmen,the herdsmen,chunk_000::cluster_102,0,0
global_cluster_000084,1,1,the ladies of the castle,the ladies of the castle,chunk_000::cluster_104,0,0
global_cluster_000085,1,1,a few serving women,a few serving women,chunk_000::cluster_105,0,0
global_cluster_000086,1,1,a few old men,a few old men,chunk_000::cluster_106,0,0
global_cluster_000087,6,6,them,most of them|them,chunk_000::cluster_107|chunk_000::cluster_129|chunk_000::cluster_213|chunk_000::cluster_252|chunk_001::cluster_080|chunk_001::cluster_106,0,1
global_cluster_000088,1,1,the Ancient Ones,the ancient ones,chunk_000::cluster_108,0,0
global_cluster_000089,1,1,the lost lands of Lyonnesse and Ys,the lost lands of lyonnesse and ys,chunk_000::cluster_109,0,0
global_cluster_000090,1,1,Lyonnesse,lyonnesse,chunk_000::cluster_110,0,0
global_cluster_000091,1,1,the fishermen,the fishermen,chunk_000::cluster_112,0,0
global_cluster_000092,1,1,their,their,chunk_000::cluster_113,0,0
global_cluster_000093,1,1,their old castles,their old castles,chunk_000::cluster_114,0,0
global_cluster_000094,1,1,drowned lands to the west,drowned lands to the west,chunk_000::cluster_117,0,0
global_cluster_000095,1,1,savage raiders from over the sea,savage raiders from over the sea,chunk_000::cluster_120,0,0
global_cluster_000096,2,2,the wild shores of Erin,erin|the wild shores of erin,chunk_000::cluster_121|chunk_000::cluster_122,0,0
global_cluster_000097,6,11,the North,all the wild folk who are moving down from the north|the north|the other wild folk from the north,chunk_000::cluster_123|chunk_001::cluster_241|chunk_001::cluster_242|chunk_002::cluster_135|chunk_002::cluster_139|chunk_002::cluster_177,0,2
global_cluster_000098,6,19,the Saxons,saxons|the saxons|the saxons-,chunk_000::cluster_124|chunk_000::cluster_201|chunk_001::cluster_047|chunk_001::cluster_230|chunk_001::cluster_231|chunk_002::cluster_125,0,2
global_cluster_000099,1,2,Ambrosius Aurelianus,ambrosius aurelianus,chunk_000::cluster_215,0,0
global_cluster_000100,1,1,High King of Britain,high king of britain,chunk_000::cluster_125,0,0
global_cluster_000101,6,17,the whole of Britain,britain|the whole of britain|two britains,chunk_000::cluster_126|chunk_001::cluster_196|chunk_001::cluster_209|chunk_001::cluster_216|chunk_002::cluster_088|chunk_002::cluster_112,0,2
global_cluster_000102,4,7,the riders,no rider|the riders,chunk_000::cluster_156|chunk_000::cluster_188|chunk_001::cluster_007|chunk_001::cluster_075,0,1
global_cluster_000103,1,1,the guards,the guards,chunk_000::cluster_127,0,0
global_cluster_000104,1,1,an army,an army,chunk_000::cluster_130,0,0
global_cluster_000105,1,1,ladies to wait upon her,ladies to wait upon her,chunk_000::cluster_133,0,0
global_cluster_000106,6,10,the Tribes,a man of the tribes|a woman of the tribes|the tribes,chunk_000::cluster_134|chunk_000::cluster_187|chunk_000::cluster_208|chunk_001::cluster_054|chunk_001::cluster_232|chunk_002::cluster_151,0,2
global_cluster_000107,3,7,the Holy Isle,a daughter of the holy isle|the holy isle,chunk_000::cluster_135|chunk_000::cluster_147|chunk_002::cluster_070,0,2
global_cluster_000108,1,1,her,her,chunk_000::cluster_136,0,0
global_cluster_000109,1,1,her people,her people,chunk_000::cluster_137,0,0
global_cluster_000110,1,1,her,her,chunk_000::cluster_138,0,0
global_cluster_000111,1,1,"a citizen who lived, even though Rome was gone from all of Britain, in Roman fashion","a citizen who lived, even though rome was gone from all of britain, in roman fashion",chunk_000::cluster_139,0,0
global_cluster_000112,8,20,Rome,a son of rome|any man born to a son of rome|rome|those who once followed rome,chunk_000::cluster_140|chunk_000::cluster_173|chunk_001::cluster_234|chunk_001::cluster_248|chunk_002::cluster_137|chunk_002::cluster_142|chunk_002::cluster_171|chunk_002::cluster_172,0,2
global_cluster_000113,3,3,the Lady of the Holy Isle,the lady of the holy isle,chunk_000::cluster_142|chunk_000::cluster_160|chunk_001::cluster_010,0,1
global_cluster_000114,3,4,their Devil,the devil|their devil,chunk_000::cluster_143|chunk_001::cluster_193|chunk_002::cluster_085,0,2
global_cluster_000115,3,14,a priest of Christ,a priest of christ|christ|the christ,chunk_000::cluster_144|chunk_001::cluster_140|chunk_001::cluster_145,0,1
global_cluster_000116,4,5,the Druids,no college of druids|the druids|the great druid,chunk_000::cluster_145|chunk_001::cluster_154|chunk_002::cluster_073|chunk_002::cluster_150,0,2
global_cluster_000117,3,3,barbarians,barbarians|the romanized barbarians,chunk_000::cluster_148|chunk_001::cluster_235|chunk_002::cluster_127,0,2
global_cluster_000118,1,1,a well-educated lady,a well-educated lady,chunk_000::cluster_149,0,0
global_cluster_000119,1,1,the small room off the court where there was sun on fine days,the small room off the court where there was sun on fine days,chunk_000::cluster_150,0,0
global_cluster_000120,1,1,a waiting-woman,a waiting-woman,chunk_000::cluster_151,0,0
global_cluster_000121,2,2,Every lady,every lady,chunk_000::cluster_152|chunk_001::cluster_002,0,1
global_cluster_000122,8,8,guests,guests|her guests|the guest,chunk_000::cluster_153|chunk_000::cluster_210|chunk_000::cluster_247|chunk_000::cluster_249|chunk_001::cluster_004|chunk_001::cluster_056|chunk_001::cluster_101|chunk_001::cluster_103,0,1
global_cluster_000123,2,2,any rider with a message,any rider with a message,chunk_000::cluster_154|chunk_001::cluster_005,0,1
global_cluster_000124,3,161,the Merlin,the merlin,chunk_000::cluster_227|chunk_001::cluster_018|chunk_002::cluster_025,0,2
global_cluster_000125,2,39,Ettarr,ettarr,chunk_000::cluster_158|chunk_001::cluster_008,0,1
global_cluster_000126,1,2,our sister,our sister,chunk_000::cluster_157,0,0
global_cluster_000127,1,1,our,our,chunk_000::cluster_159,0,0
global_cluster_000128,2,2,"a tall, sturdy girl, just beginning to lengthen and ripen into womanhood","a tall, sturdy girl, just beginning to lengthen and ripen into womanhood",chunk_000::cluster_162|chunk_001::cluster_013,0,1
global_cluster_000129,2,2,the herbwife,the herbwife,chunk_000::cluster_163|chunk_001::cluster_014,0,1
global_cluster_000130,10,4,a great priestess,a great priestess|a priestess|priestess,chunk_000::cluster_001|chunk_000::cluster_056|chunk_000::cluster_164|chunk_000::cluster_216|chunk_000::cluster_257|chunk_001::cluster_015|chunk_001::cluster_062|chunk_001::cluster_111|chunk_001::cluster_160|chunk_002::cluster_051,0,1
global_cluster_000131,2,2,the narrow stairs,the narrow stairs,chunk_000::cluster_165|chunk_001::cluster_016,0,1
global_cluster_000132,1,1,her waiting-woman,her waiting-woman,chunk_000::cluster_167,0,0
global_cluster_000133,1,1,Gwennis,gwennis,chunk_000::cluster_168,0,0
global_cluster_000134,1,1,three women,three women,chunk_000::cluster_169,0,0
global_cluster_000135,2,2,a comer,a comer,chunk_000::cluster_170|chunk_001::cluster_021,0,1
global_cluster_000136,4,6,Londinium,londinium|the markets in londinium,chunk_000::cluster_239|chunk_000::cluster_248|chunk_001::cluster_093|chunk_001::cluster_102,0,1
global_cluster_000137,2,2,a little girl,a little girl,chunk_000::cluster_171|chunk_001::cluster_022,0,1
global_cluster_000138,1,1,so many little children,so many little children,chunk_000::cluster_174,0,0
global_cluster_000139,7,17,The Romans,roman|romans|the romans|these romans,chunk_000::cluster_175|chunk_001::cluster_025|chunk_001::cluster_254|chunk_002::cluster_102|chunk_002::cluster_152|chunk_002::cluster_170|chunk_002::cluster_178,0,2
global_cluster_000140,1,1,their,their,chunk_000::cluster_176,0,0
global_cluster_000141,1,1,any man,any man,chunk_000::cluster_178,0,0
global_cluster_000142,1,1,any woman,any woman,chunk_000::cluster_179,0,0
global_cluster_000143,1,1,any woman's child,any woman's child,chunk_000::cluster_180,0,0
global_cluster_000144,1,3,their women,their women,chunk_000::cluster_181,0,0
global_cluster_000145,1,1,one man,one man,chunk_000::cluster_182,0,0
global_cluster_000146,9,10,a son,a son|other bastard sons|your son,chunk_000::cluster_183|chunk_000::cluster_191|chunk_000::cluster_192|chunk_000::cluster_207|chunk_001::cluster_033|chunk_001::cluster_038|chunk_001::cluster_039|chunk_001::cluster_053|chunk_002::cluster_183,0,2
global_cluster_000147,1,1,her dressing-woman,her dressing-woman,chunk_000::cluster_184,0,0
global_cluster_000148,2,2,Children fed on gruel,children fed on gruel,chunk_000::cluster_189|chunk_001::cluster_036,0,1
global_cluster_000149,2,2,Children fed on cow's or mare's milk,children fed on cow's or mare's milk,chunk_000::cluster_190|chunk_001::cluster_037,0,1
global_cluster_000150,1,1,the son he wanted,the son he wanted,chunk_000::cluster_186,0,0
global_cluster_000151,3,4,the villa where he had lived until Ambrosius made him Duke of Cornwall,duke of cornwall|the villa where he had lived until ambrosius made him duke of cornwall,chunk_000::cluster_229|chunk_001::cluster_074|chunk_001::cluster_078,0,1
global_cluster_000152,2,2,one of whom,one of whom,chunk_000::cluster_193|chunk_001::cluster_040,0,1
global_cluster_000153,4,6,"the camp of the war duke, Uther","the camp of the war duke, uther|uther",chunk_000::cluster_194|chunk_000::cluster_196|chunk_001::cluster_041|chunk_001::cluster_042,0,1
global_cluster_000154,2,2,the war duke,his war duke|the war duke,chunk_000::cluster_195|chunk_002::cluster_128,0,2
global_cluster_000155,2,2,the kitchen,the kitchen,chunk_000::cluster_197|chunk_001::cluster_043,0,1
global_cluster_000156,2,2,a Piet,a piet,chunk_000::cluster_198|chunk_001::cluster_044,0,1
global_cluster_000157,4,4,all of the Tribeswomen,all of the tribeswomen|the tribeswomen,chunk_000::cluster_199|chunk_000::cluster_200|chunk_001::cluster_045|chunk_001::cluster_046,0,1
global_cluster_000158,4,4,a young wife,a wife|a young wife,chunk_000::cluster_202|chunk_000::cluster_255|chunk_001::cluster_048|chunk_001::cluster_109,0,1
global_cluster_000159,1,1,their children,their children,chunk_000::cluster_203,0,0
global_cluster_000160,4,4,a daughter,a daughter,chunk_000::cluster_205|chunk_000::cluster_209|chunk_001::cluster_051|chunk_001::cluster_055,0,1
global_cluster_000161,2,2,their wives,their wives,chunk_000::cluster_206|chunk_001::cluster_052,0,1
global_cluster_000162,2,2,the cellars,the cellars,chunk_000::cluster_211|chunk_001::cluster_057,0,1
global_cluster_000163,2,8,her servants,her servants,chunk_000::cluster_212|chunk_001::cluster_060,0,1
global_cluster_000164,1,1,several children,several children,chunk_000::cluster_217,0,0
global_cluster_000165,1,1,her mother had borne those children,her mother had borne those children,chunk_000::cluster_218,0,0
global_cluster_000166,1,1,those children,those children,chunk_000::cluster_219,0,0
global_cluster_000167,2,2,a Tribeswoman,a tribeswoman,chunk_000::cluster_220|chunk_001::cluster_066,0,1
global_cluster_000168,5,27,such fathers,his father|such fathers|the father,chunk_000::cluster_221|chunk_001::cluster_067|chunk_001::cluster_124|chunk_002::cluster_138|chunk_002::cluster_188,0,2
global_cluster_000169,2,2,a slave to some Roman whose customs gave him power over women and children,a slave to some roman whose customs gave him power over women and children,chunk_000::cluster_222|chunk_001::cluster_068,0,1
global_cluster_000170,2,2,some Roman whose customs gave him power over women and children,some roman whose customs gave him power over women and children,chunk_000::cluster_223|chunk_001::cluster_069,0,1
global_cluster_000171,1,1,women,women,chunk_000::cluster_224,0,0
global_cluster_000172,1,1,children,children,chunk_000::cluster_225,0,0
global_cluster_000173,2,5,the courtyard,the courtyard,chunk_000::cluster_226|chunk_001::cluster_073,0,1
global_cluster_000174,2,2,the atrium,the atrium,chunk_000::cluster_228|chunk_001::cluster_077,0,1
global_cluster_000175,2,2,the only woman among them,the only woman among them,chunk_000::cluster_230|chunk_001::cluster_079,0,1
global_cluster_000176,1,1,a man,a man,chunk_000::cluster_231,0,0
global_cluster_000177,1,1,their,their,chunk_000::cluster_232,0,0
global_cluster_000178,5,5,a bard-,a bard|a bard-|bard,chunk_000::cluster_233|chunk_000::cluster_256|chunk_001::cluster_084|chunk_001::cluster_089|chunk_001::cluster_110,0,1
global_cluster_000179,1,1,our,our,chunk_000::cluster_234,0,0
global_cluster_000180,4,9,the Old People,the old people,chunk_000::cluster_236|chunk_000::cluster_260|chunk_001::cluster_094|chunk_002::cluster_103,0,2
global_cluster_000181,1,1,our,our,chunk_000::cluster_237,0,0
global_cluster_000182,2,2,a woman well accustomed to babies,a woman well accustomed to babies,chunk_000::cluster_242|chunk_001::cluster_097,0,1
global_cluster_000183,4,4,"a surprisingly little woman, no taller than a well-grown girl of eight or ten","a surprisingly little woman, no taller than a well-grown girl of eight or ten|a well-grown girl of eight or ten",chunk_000::cluster_243|chunk_000::cluster_244|chunk_001::cluster_098|chunk_001::cluster_099,0,1
global_cluster_000184,2,2,a child put into adult clothes,a child put into adult clothes,chunk_000::cluster_245|chunk_001::cluster_100,0,1
global_cluster_000185,1,1,A serving-woman,a serving-woman,chunk_000::cluster_246,0,0
global_cluster_000186,1,1,"a small, tired-looking woman","a small, tired-looking woman",chunk_000::cluster_250,0,0
global_cluster_000187,1,1,a stooped old man,a stooped old man,chunk_000::cluster_251,0,0
global_cluster_000188,2,2,A fairy woman,a fairy woman,chunk_000::cluster_258|chunk_001::cluster_112,0,1
global_cluster_000189,2,2,a woman of the Old People,a woman of the old people,chunk_000::cluster_259|chunk_001::cluster_113,0,1
global_cluster_000190,2,150,Morgause,morgause,chunk_001::cluster_000|chunk_002::cluster_000,1,2
global_cluster_000191,1,1,a waiting-woman,a waiting-woman,chunk_001::cluster_001,1,1
global_cluster_000192,1,1,our,our,chunk_001::cluster_009,1,1
global_cluster_000193,1,1,the Messenger of the Gods,the messenger of the gods,chunk_001::cluster_011,1,1
global_cluster_000194,1,1,her waiting-woman,her waiting-woman,chunk_001::cluster_019,1,1
global_cluster_000195,1,1,three women,three women,chunk_001::cluster_020,1,1
global_cluster_000196,2,2,another room,another room|the room,chunk_001::cluster_023|chunk_002::cluster_166,1,2
global_cluster_000197,1,1,their,their,chunk_001::cluster_026,1,1
global_cluster_000198,1,1,any man,any man,chunk_001::cluster_028,1,1
global_cluster_000199,1,1,any woman,any woman,chunk_001::cluster_029,1,1
global_cluster_000200,1,1,any woman's child,any woman's child,chunk_001::cluster_030,1,1
global_cluster_000201,1,3,their women,their women,chunk_001::cluster_031,1,1
global_cluster_000202,1,1,one man,one man,chunk_001::cluster_032,1,1
global_cluster_000203,1,5,children,children,chunk_001::cluster_034,1,1
global_cluster_000204,2,3,her consort,her consort,chunk_001::cluster_035|chunk_002::cluster_098,1,2
global_cluster_000205,1,1,their children,their children,chunk_001::cluster_049,1,1
global_cluster_000206,1,1,several children,several children,chunk_001::cluster_063,1,1
global_cluster_000207,1,1,her mother had borne those children,her mother had borne those children,chunk_001::cluster_064,1,1
global_cluster_000208,1,1,those children,those children,chunk_001::cluster_065,1,1
global_cluster_000209,1,1,him,him,chunk_001::cluster_070,1,1
global_cluster_000210,1,1,women,women,chunk_001::cluster_071,1,1
global_cluster_000211,1,1,children,children,chunk_001::cluster_072,1,1
global_cluster_000212,1,12,Ambrosius,ambrosius,chunk_001::cluster_233,1,1
global_cluster_000213,1,1,a man,a man,chunk_001::cluster_082,1,1
global_cluster_000214,1,1,their,their,chunk_001::cluster_083,1,1
global_cluster_000215,1,1,our,our,chunk_001::cluster_086,1,1
global_cluster_000216,1,1,our roof,our roof,chunk_001::cluster_087,1,1
global_cluster_000217,1,1,our,our,chunk_001::cluster_090,1,1
global_cluster_000218,2,3,the hall,the great hall|the hall,chunk_001::cluster_146|chunk_002::cluster_046,1,2
global_cluster_000219,1,1,"a small, tired-looking woman","a small, tired-looking woman",chunk_001::cluster_104,1,1
global_cluster_000220,1,1,a stooped old man,a stooped old man,chunk_001::cluster_105,1,1
global_cluster_000221,2,2,the only mother Morgause has ever known,the only mother morgause has ever known,chunk_001::cluster_116|chunk_002::cluster_003,1,2
global_cluster_000222,1,1,a grown woman,a grown woman,chunk_001::cluster_117,1,1
global_cluster_000223,3,3,"sister, to both of us","mother, as well as sister, to both of us|sister, to both of us",chunk_001::cluster_118|chunk_002::cluster_005|chunk_002::cluster_006,1,2
global_cluster_000224,1,1,Their,their,chunk_001::cluster_120,1,1
global_cluster_000225,2,2,"Their mother, who had been really too old for childbearing","their mother, who had been really too old for childbearing",chunk_001::cluster_121|chunk_002::cluster_009,1,2
global_cluster_000226,2,2,a child of her own,a child of her own,chunk_001::cluster_122|chunk_002::cluster_010,1,2
global_cluster_000227,1,1,her child,her child,chunk_001::cluster_123,1,1
global_cluster_000228,2,2,twins,twins,chunk_001::cluster_130|chunk_002::cluster_019,1,2
global_cluster_000229,1,1,Priscilla,priscilla,chunk_001::cluster_132,1,1
global_cluster_000230,1,1,a good woman,a good woman,chunk_001::cluster_133,1,1
global_cluster_000231,1,1,their,their,chunk_001::cluster_136,1,1
global_cluster_000232,1,39,our,our,chunk_001::cluster_144,1,1
