rejected_global_cluster_uid,would_be_global_cluster_uid,merge_component_uid,rejection_reason,salience_percentile,salience_cutoff,n_local_clusters,n_mentions,canonical_name,canonical_names,local_cluster_uids,chunk_min,chunk_max
rejected_global_cluster_000013,global_cluster_000017,merge_component_001871,below_global_cluster_salience_percentile,0.95,66,21,30,a strange land,a strange land|an ordinary little girl who had come by the chance of a cyclone into a strange land|one of the richest munchkins in the land|prisoners in a strange land|the best and wisest man in all the land|the land|the plowed land|the strangers who are within my land,chunk_000::cluster_017|chunk_000::cluster_114|chunk_000::cluster_127|chunk_000::cluster_137|chunk_000::cluster_138|chunk_001::cluster_054|chunk_001::cluster_056|chunk_001::cluster_065|chunk_001::cluster_108|chunk_002::cluster_032|chunk_003::cluster_072|chunk_004::cluster_036|chunk_004::cluster_053|chunk_008::cluster_077|chunk_009::cluster_027|chunk_009::cluster_048|chunk_009::cluster_049|chunk_010::cluster_006|chunk_010::cluster_007|chunk_010::cluster_077|chunk_011::cluster_021,0,11
rejected_global_cluster_000159,global_cluster_000177,merge_component_001669,below_global_cluster_salience_percentile,0.95,66,2,29,the gulf,the gulf,chunk_003::cluster_056|chunk_004::cluster_014,3,4
rejected_global_cluster_000037,global_cluster_000047,merge_component_001887,below_global_cluster_salience_percentile,0.95,66,13,28,the South,the land of the south|the north and south|the road to the south|the south|the witches of the north and south|those who live in the north and the south,chunk_000::cluster_057|chunk_000::cluster_059|chunk_000::cluster_085|chunk_001::cluster_009|chunk_011::cluster_096|chunk_011::cluster_098|chunk_012::cluster_021|chunk_012::cluster_084|chunk_013::cluster_036|chunk_013::cluster_048|chunk_014::cluster_084|chunk_015::cluster_041|chunk_015::cluster_042,0,15
rejected_global_cluster_000049,global_cluster_000061,merge_component_001897,below_global_cluster_salience_percentile,0.95,66,10,26,the country of the Quadlings,none of the quadlings|the country of the quadlings|the quadlings,chunk_000::cluster_087|chunk_000::cluster_088|chunk_001::cluster_010|chunk_001::cluster_011|chunk_012::cluster_082|chunk_012::cluster_094|chunk_013::cluster_034|chunk_013::cluster_047|chunk_014::cluster_073|chunk_015::cluster_027,0,15
rejected_global_cluster_000015,global_cluster_000020,merge_component_001873,below_global_cluster_salience_percentile,0.95,66,19,25,they,they,chunk_000::cluster_022|chunk_001::cluster_004|chunk_003::cluster_045|chunk_003::cluster_046|chunk_006::cluster_064|chunk_006::cluster_084|chunk_007::cluster_018|chunk_007::cluster_044|chunk_008::cluster_086|chunk_009::cluster_038|chunk_009::cluster_051|chunk_009::cluster_081|chunk_010::cluster_009|chunk_010::cluster_015|chunk_010::cluster_047|chunk_013::cluster_105|chunk_014::cluster_008|chunk_014::cluster_055|chunk_015::cluster_010,0,15
rejected_global_cluster_000166,global_cluster_000185,merge_component_001672,below_global_cluster_salience_percentile,0.95,66,3,23,the raft,the raft,chunk_003::cluster_071|chunk_004::cluster_035|chunk_005::cluster_006,3,5
rejected_global_cluster_000035,global_cluster_000044,merge_component_001884,below_global_cluster_salience_percentile,0.95,66,14,21,witches,all the witches|all witches|good witches|no witches|only four witches|the most powerful of all the witches|the witches|wicked witches|witches,chunk_000::cluster_053|chunk_000::cluster_054|chunk_000::cluster_060|chunk_000::cluster_065|chunk_000::cluster_069|chunk_000::cluster_073|chunk_000::cluster_132|chunk_001::cluster_061|chunk_011::cluster_093|chunk_012::cluster_018|chunk_012::cluster_080|chunk_012::cluster_081|chunk_013::cluster_032|chunk_013::cluster_033,0,13
rejected_global_cluster_000031,global_cluster_000038,merge_component_001879,below_global_cluster_salience_percentile,0.95,66,16,20,my home,"an innocent, harmless little girl, who had been carried by a cyclone many miles from home|her own home|home|my home|our homes|their homes",chunk_000::cluster_040|chunk_000::cluster_041|chunk_000::cluster_093|chunk_001::cluster_018|chunk_001::cluster_073|chunk_002::cluster_010|chunk_003::cluster_067|chunk_004::cluster_030|chunk_005::cluster_039|chunk_005::cluster_072|chunk_006::cluster_009|chunk_006::cluster_050|chunk_010::cluster_095|chunk_011::cluster_045|chunk_014::cluster_109|chunk_015::cluster_065,0,15
rejected_global_cluster_000062,global_cluster_000076,merge_component_001906,below_global_cluster_salience_percentile,0.95,66,18,20,everyone,everyone,chunk_000::cluster_118|chunk_001::cluster_045|chunk_006::cluster_074|chunk_006::cluster_110|chunk_007::cluster_030|chunk_007::cluster_070|chunk_010::cluster_069|chunk_010::cluster_113|chunk_011::cluster_013|chunk_011::cluster_061|chunk_012::cluster_062|chunk_012::cluster_063|chunk_012::cluster_086|chunk_012::cluster_100|chunk_013::cluster_007|chunk_013::cluster_010|chunk_013::cluster_038|chunk_013::cluster_054,0,13
rejected_global_cluster_000371,global_cluster_000396,merge_component_002006,below_global_cluster_salience_percentile,0.95,66,4,19,the desert,the desert,chunk_011::cluster_114|chunk_012::cluster_048|chunk_013::cluster_026|chunk_014::cluster_111,11,14
rejected_global_cluster_000111,global_cluster_000128,merge_component_001919,below_global_cluster_salience_percentile,0.95,66,3,17,the cottage,my cottage|the cottage,chunk_001::cluster_113|chunk_002::cluster_040|chunk_003::cluster_019,1,3
rejected_global_cluster_000027,global_cluster_000032,merge_component_000083,below_global_cluster_salience_percentile,0.95,66,1,16,Boq,boq,chunk_000::cluster_083,0,0
rejected_global_cluster_000045,global_cluster_000057,merge_component_001909,below_global_cluster_salience_percentile,0.95,66,12,16,here,here|the country here|the good witch who rules here,chunk_000::cluster_142|chunk_001::cluster_005|chunk_001::cluster_074|chunk_005::cluster_019|chunk_005::cluster_051|chunk_006::cluster_029|chunk_010::cluster_065|chunk_011::cluster_063|chunk_014::cluster_037|chunk_014::cluster_090|chunk_015::cluster_049|chunk_015::cluster_050,0,15
rejected_global_cluster_000153,global_cluster_000171,merge_component_001939,below_global_cluster_salience_percentile,0.95,66,10,16,the King of Beasts,a beast|a terrible beast|a wild beast|all the other beasts|the beast|the king of beasts,chunk_003::cluster_041|chunk_007::cluster_084|chunk_007::cluster_090|chunk_008::cluster_022|chunk_010::cluster_102|chunk_011::cluster_051|chunk_012::cluster_095|chunk_013::cluster_051|chunk_014::cluster_104|chunk_015::cluster_020,3,15
rejected_global_cluster_000072,global_cluster_000086,merge_component_001910,below_global_cluster_salience_percentile,0.95,66,13,15,the cornfield,a cornfield|a farmer's cornfield|a great cornfield|the cornfield|the farmer's cornfield,chunk_000::cluster_144|chunk_001::cluster_076|chunk_001::cluster_098|chunk_002::cluster_022|chunk_003::cluster_076|chunk_004::cluster_040|chunk_005::cluster_007|chunk_012::cluster_074|chunk_012::cluster_097|chunk_013::cluster_023|chunk_013::cluster_053|chunk_014::cluster_112|chunk_015::cluster_067,0,15
rejected_global_cluster_000117,global_cluster_000134,merge_component_000278,below_global_cluster_salience_percentile,0.95,66,1,15,the old woman,the old woman,chunk_002::cluster_014,2,2
rejected_global_cluster_000255,global_cluster_000278,merge_component_001979,below_global_cluster_salience_percentile,0.95,66,13,15,a Head,a great head|a head|hundreds of the armless hammer-heads|people with shooting heads|the head,chunk_007::cluster_080|chunk_007::cluster_082|chunk_008::cluster_012|chunk_008::cluster_015|chunk_008::cluster_019|chunk_010::cluster_100|chunk_010::cluster_115|chunk_011::cluster_049|chunk_011::cluster_065|chunk_014::cluster_068|chunk_014::cluster_070|chunk_015::cluster_022|chunk_015::cluster_024,7,15
rejected_global_cluster_000033,global_cluster_000041,merge_component_001882,below_global_cluster_salience_percentile,0.95,66,12,14,the North,a person who has been kissed by the witch of the north|the good witch of the north|the land of the north|the north,chunk_000::cluster_049|chunk_000::cluster_058|chunk_000::cluster_091|chunk_000::cluster_102|chunk_001::cluster_017|chunk_001::cluster_030|chunk_006::cluster_103|chunk_006::cluster_104|chunk_007::cluster_063|chunk_007::cluster_064|chunk_010::cluster_066|chunk_011::cluster_009,0,11
rejected_global_cluster_000021,global_cluster_000026,merge_component_000029,below_global_cluster_salience_percentile,0.95,66,1,13,the men,the men,chunk_000::cluster_029,0,0
rejected_global_cluster_000047,global_cluster_000059,merge_component_001895,below_global_cluster_salience_percentile,0.95,66,5,12,the little brook,a little brook|a little rippling brook|the little brook,chunk_000::cluster_082|chunk_001::cluster_006|chunk_002::cluster_005|chunk_003::cluster_055|chunk_004::cluster_013,0,4
rejected_global_cluster_000144,global_cluster_000162,merge_component_001935,below_global_cluster_salience_percentile,0.95,66,12,12,a coward,a coward|a great coward,chunk_002::cluster_077|chunk_003::cluster_047|chunk_004::cluster_064|chunk_005::cluster_033|chunk_005::cluster_056|chunk_006::cluster_034|chunk_007::cluster_093|chunk_007::cluster_096|chunk_008::cluster_028|chunk_008::cluster_033|chunk_014::cluster_113|chunk_015::cluster_070,2,15
rejected_global_cluster_000178,global_cluster_000197,merge_component_001951,below_global_cluster_salience_percentile,0.95,66,11,12,the green fields,beautiful green fields|field|the field|the fields|the great fields|the green fields|the scarlet fields,chunk_004::cluster_055|chunk_005::cluster_029|chunk_006::cluster_010|chunk_006::cluster_013|chunk_009::cluster_078|chunk_009::cluster_080|chunk_010::cluster_043|chunk_010::cluster_045|chunk_014::cluster_085|chunk_015::cluster_028|chunk_015::cluster_043,4,15
rejected_global_cluster_000038,global_cluster_000049,merge_component_001889,below_global_cluster_salience_percentile,0.95,66,9,11,the East,east|the east|the wicked witch of the east|the witch of the east|this country of the east,chunk_000::cluster_078|chunk_000::cluster_121|chunk_001::cluster_033|chunk_001::cluster_034|chunk_001::cluster_048|chunk_011::cluster_097|chunk_012::cluster_022|chunk_012::cluster_024|chunk_012::cluster_025,0,12
rejected_global_cluster_000187,global_cluster_000207,merge_component_001956,below_global_cluster_salience_percentile,0.95,66,10,11,us,not one of us|some of us|us,chunk_005::cluster_032|chunk_009::cluster_056|chunk_010::cluster_017|chunk_010::cluster_021|chunk_010::cluster_063|chunk_011::cluster_007|chunk_014::cluster_059|chunk_014::cluster_097|chunk_015::cluster_006|chunk_015::cluster_056,5,15
rejected_global_cluster_000339,global_cluster_000364,merge_component_002000,below_global_cluster_salience_percentile,0.95,66,11,11,a humbug,a humbug,chunk_010::cluster_107|chunk_010::cluster_108|chunk_010::cluster_110|chunk_011::cluster_056|chunk_011::cluster_057|chunk_011::cluster_059|chunk_011::cluster_116|chunk_011::cluster_120|chunk_012::cluster_045|chunk_012::cluster_053|chunk_012::cluster_059,10,12
rejected_global_cluster_000362,global_cluster_000387,merge_component_001189,below_global_cluster_salience_percentile,0.95,66,1,11,my people,my people,chunk_011::cluster_082,11,11
rejected_global_cluster_000003,global_cluster_000005,merge_component_000020,below_global_cluster_salience_percentile,0.95,66,1,10,the people,the people,chunk_000::cluster_020,0,0
rejected_global_cluster_000064,global_cluster_000078,merge_component_001908,below_global_cluster_salience_percentile,0.95,66,8,10,it,a room with a pretty bed in it|anyone who breathes it|it|the green lawn before it,chunk_000::cluster_123|chunk_000::cluster_139|chunk_001::cluster_050|chunk_001::cluster_066|chunk_001::cluster_109|chunk_002::cluster_036|chunk_004::cluster_051|chunk_005::cluster_038,0,5
rejected_global_cluster_000141,global_cluster_000159,merge_component_001774,below_global_cluster_salience_percentile,0.95,66,10,10,No one,no one,chunk_002::cluster_073|chunk_003::cluster_039|chunk_007::cluster_102|chunk_007::cluster_106|chunk_008::cluster_045|chunk_008::cluster_048|chunk_010::cluster_111|chunk_011::cluster_060|chunk_013::cluster_076|chunk_014::cluster_023,2,14
rejected_global_cluster_000256,global_cluster_000279,merge_component_001981,below_global_cluster_salience_percentile,0.95,66,5,10,a lovely Lady,a lovely lady|the lovely lady,chunk_007::cluster_081|chunk_008::cluster_014|chunk_010::cluster_101|chunk_011::cluster_050|chunk_011::cluster_069,7,11
rejected_global_cluster_000308,global_cluster_000333,merge_component_001994,below_global_cluster_salience_percentile,0.95,66,4,10,two of the Monkeys,two of the biggest monkeys|two of the monkeys,chunk_009::cluster_084|chunk_009::cluster_087|chunk_010::cluster_052|chunk_010::cluster_056,9,10
rejected_global_cluster_000433,global_cluster_000458,merge_component_001725,below_global_cluster_salience_percentile,0.95,66,2,10,these little people,these little people,chunk_013::cluster_083|chunk_014::cluster_030,13,14
rejected_global_cluster_000078,global_cluster_000093,merge_component_000156,below_global_cluster_salience_percentile,0.95,66,1,9,the other,the other,chunk_001::cluster_008,1,1
rejected_global_cluster_000097,global_cluster_000113,merge_component_001915,below_global_cluster_salience_percentile,0.95,66,7,9,a fool,a fool,chunk_001::cluster_082|chunk_001::cluster_107|chunk_002::cluster_031|chunk_002::cluster_064|chunk_003::cluster_023|chunk_007::cluster_097|chunk_008::cluster_034,1,8
rejected_global_cluster_000148,global_cluster_000166,merge_component_001936,below_global_cluster_salience_percentile,0.95,66,5,9,the woods,the woods,chunk_003::cluster_025|chunk_004::cluster_019|chunk_012::cluster_092|chunk_013::cluster_043|chunk_013::cluster_050,3,13
rejected_global_cluster_000167,global_cluster_000186,merge_component_001946,below_global_cluster_salience_percentile,0.95,66,5,9,the shore,shore|the shore,chunk_003::cluster_078|chunk_004::cluster_042|chunk_005::cluster_008|chunk_010::cluster_083|chunk_011::cluster_028,3,11
rejected_global_cluster_000172,global_cluster_000191,merge_component_001674,below_global_cluster_salience_percentile,0.95,66,2,9,the bank,the bank,chunk_004::cluster_044|chunk_005::cluster_010,4,5
rejected_global_cluster_000092,global_cluster_000108,merge_component_001914,below_global_cluster_salience_percentile,0.95,66,8,8,a beautiful and wonderful place,a beautiful and wonderful place|rough and dangerous places|some place|the place|this strange place,chunk_001::cluster_075|chunk_002::cluster_043|chunk_005::cluster_061|chunk_006::cluster_039|chunk_009::cluster_079|chunk_010::cluster_044|chunk_013::cluster_077|chunk_014::cluster_024,1,14
rejected_global_cluster_000150,global_cluster_000168,merge_component_001937,below_global_cluster_salience_percentile,0.95,66,8,8,her companions,her companions,chunk_003::cluster_031|chunk_006::cluster_053|chunk_007::cluster_121|chunk_008::cluster_062|chunk_010::cluster_046|chunk_013::cluster_016|chunk_014::cluster_094|chunk_015::cluster_053,3,15
rejected_global_cluster_000210,global_cluster_000232,merge_component_001965,below_global_cluster_salience_percentile,0.95,66,3,8,a farmhouse,a farmhouse|a good-sized farmhouse,chunk_006::cluster_032|chunk_014::cluster_080|chunk_015::cluster_036,6,15
rejected_global_cluster_000267,global_cluster_000290,merge_component_001983,below_global_cluster_salience_percentile,0.95,66,2,8,the leader of the wolves,the leader of the wolves,chunk_007::cluster_116|chunk_008::cluster_058,7,8
rejected_global_cluster_000286,global_cluster_000311,merge_component_001987,below_global_cluster_salience_percentile,0.95,66,3,8,the courtyard,the courtyard,chunk_008::cluster_081|chunk_009::cluster_044|chunk_010::cluster_025,8,10
rejected_global_cluster_000289,global_cluster_000314,merge_component_001695,below_global_cluster_salience_percentile,0.95,66,3,8,kitchen,kitchen|the kitchen,chunk_008::cluster_092|chunk_009::cluster_043|chunk_010::cluster_003,8,10
