rejected_global_cluster_uid,would_be_global_cluster_uid,merge_component_uid,rejection_reason,salience_percentile,salience_cutoff,n_local_clusters,n_mentions,canonical_name,canonical_names,local_cluster_uids,chunk_min,chunk_max
rejected_global_cluster_000036,global_cluster_000046,merge_component_000071,below_global_cluster_salience_policy,0.95,57,1,2,the sky,the sky,chunk_000::cluster_071,0,0
rejected_global_cluster_000045,global_cluster_000055,merge_component_000125,below_global_cluster_salience_policy,0.95,57,2,2,Bunch of ignorant louts,bunch of ignorant louts|ignorant louts,chunk_000::cluster_082|chunk_000::cluster_083,0,0
rejected_global_cluster_000000,global_cluster_000000,merge_component_000000,below_global_cluster_salience_policy,0.95,57,1,1,the solar system,the solar system,chunk_000::cluster_000,0,0
rejected_global_cluster_000001,global_cluster_000001,merge_component_000001,below_global_cluster_salience_policy,0.95,57,1,1,G. P. Kuiper,g. p. kuiper,chunk_000::cluster_001,0,0
rejected_global_cluster_000003,global_cluster_000005,merge_component_000004,below_global_cluster_salience_policy,0.95,57,1,1,a child,a child,chunk_000::cluster_004,0,0
rejected_global_cluster_000005,global_cluster_000010,merge_component_000007,below_global_cluster_salience_policy,0.95,57,1,1,some uncles and aunts who were visiting,some uncles and aunts who were visiting,chunk_000::cluster_007,0,0
rejected_global_cluster_000006,global_cluster_000012,merge_component_000009,below_global_cluster_salience_policy,0.95,57,1,1,the one who later became a horse,the one who later became a horse,chunk_000::cluster_009,0,0
rejected_global_cluster_000007,global_cluster_000013,merge_component_000010,below_global_cluster_salience_policy,0.95,57,1,1,little ones,little ones,chunk_000::cluster_010,0,0
rejected_global_cluster_000008,global_cluster_000015,merge_component_000012,below_global_cluster_salience_policy,0.95,57,1,1,the nebulae,the nebulae,chunk_000::cluster_012,0,0
rejected_global_cluster_000010,global_cluster_000017,merge_component_000017,below_global_cluster_salience_policy,0.95,57,1,1,nobody,nobody,chunk_000::cluster_017,0,0
rejected_global_cluster_000011,global_cluster_000018,merge_component_000018,below_global_cluster_salience_policy,0.95,57,1,1,those old folks,those old folks,chunk_000::cluster_018,0,0
rejected_global_cluster_000012,global_cluster_000020,merge_component_000022,below_global_cluster_salience_policy,0.95,57,1,1,a shy girl,a shy girl,chunk_000::cluster_022,0,0
rejected_global_cluster_000013,global_cluster_000021,merge_component_000024,below_global_cluster_salience_policy,0.95,57,1,1,the place where she was lying,the place where she was lying,chunk_000::cluster_024,0,0
rejected_global_cluster_000014,global_cluster_000022,merge_component_000028,below_global_cluster_salience_policy,0.95,57,1,1,an infant at the time,an infant at the time,chunk_000::cluster_028,0,0
rejected_global_cluster_000015,global_cluster_000023,merge_component_000031,below_global_cluster_salience_policy,0.95,57,1,1,nobody,nobody,chunk_000::cluster_031,0,0
rejected_global_cluster_000016,global_cluster_000024,merge_component_000032,below_global_cluster_salience_policy,0.95,57,1,1,some,some,chunk_000::cluster_032,0,0
rejected_global_cluster_000017,global_cluster_000025,merge_component_000033,below_global_cluster_salience_policy,0.95,57,1,1,an alga,an alga,chunk_000::cluster_033,0,0
rejected_global_cluster_000018,global_cluster_000026,merge_component_000034,below_global_cluster_salience_policy,0.95,57,1,1,everyone,everyone,chunk_000::cluster_034,0,0
rejected_global_cluster_000019,global_cluster_000027,merge_component_000036,below_global_cluster_salience_policy,0.95,57,1,1,the universe,the universe,chunk_000::cluster_036,0,0
rejected_global_cluster_000020,global_cluster_000028,merge_component_000041,below_global_cluster_salience_policy,0.95,57,1,1,Children,children,chunk_000::cluster_041,0,0
rejected_global_cluster_000022,global_cluster_000031,merge_component_000045,below_global_cluster_salience_policy,0.95,57,1,1,anybody,anybody,chunk_000::cluster_045,0,0
rejected_global_cluster_000024,global_cluster_000033,merge_component_000051,below_global_cluster_salience_policy,0.95,57,1,1,a little hill,a little hill,chunk_000::cluster_051,0,0
rejected_global_cluster_000025,global_cluster_000034,merge_component_000053,below_global_cluster_salience_policy,0.95,57,1,1,the very spot where Granny Bb'b was sitting,the very spot where granny bb'b was sitting,chunk_000::cluster_053,0,0
rejected_global_cluster_000029,global_cluster_000039,merge_component_000057,below_global_cluster_salience_policy,0.95,57,1,1,our children,our children,chunk_000::cluster_057,0,0
rejected_global_cluster_000030,global_cluster_000040,merge_component_000059,below_global_cluster_salience_policy,0.95,57,1,1,the out-of-the-way place where they lived,the out-of-the-way place where they lived,chunk_000::cluster_059,0,0
rejected_global_cluster_000033,global_cluster_000043,merge_component_000063,below_global_cluster_salience_policy,0.95,57,1,1,the husband,the husband,chunk_000::cluster_063,0,0
rejected_global_cluster_000034,global_cluster_000044,merge_component_000069,below_global_cluster_salience_policy,0.95,57,1,1,I,i,chunk_000::cluster_069,0,0
rejected_global_cluster_000037,global_cluster_000047,merge_component_000072,below_global_cluster_salience_policy,0.95,57,1,1,an enormous empty space,an enormous empty space,chunk_000::cluster_072,0,0
rejected_global_cluster_000038,global_cluster_000048,merge_component_000074,below_global_cluster_salience_policy,0.95,57,1,1,other people,other people,chunk_000::cluster_074,0,0
rejected_global_cluster_000039,global_cluster_000049,merge_component_000076,below_global_cluster_salience_policy,0.95,57,1,1,Mercury,mercury,chunk_000::cluster_076,0,0
rejected_global_cluster_000040,global_cluster_000050,merge_component_000077,below_global_cluster_salience_policy,0.95,57,1,1,Venus,venus,chunk_000::cluster_077,0,0
rejected_global_cluster_000041,global_cluster_000051,merge_component_000078,below_global_cluster_salience_policy,0.95,57,1,1,the Earth,the earth,chunk_000::cluster_078,0,0
rejected_global_cluster_000042,global_cluster_000052,merge_component_000079,below_global_cluster_salience_policy,0.95,57,1,1,others farther on,others farther on,chunk_000::cluster_079,0,0
rejected_global_cluster_000043,global_cluster_000053,merge_component_000080,below_global_cluster_salience_policy,0.95,57,1,1,he,he,chunk_000::cluster_080,0,0
rejected_global_cluster_000044,global_cluster_000054,merge_component_000081,below_global_cluster_salience_policy,0.95,57,1,1,the sort of person who accepts anything that happens as perfectly natural,the sort of person who accepts anything that happens as perfectly natural,chunk_000::cluster_081,0,0
rejected_global_cluster_000046,global_cluster_000056,merge_component_000084,below_global_cluster_salience_policy,0.95,57,1,1,Rnow- nothings,rnow- nothings,chunk_000::cluster_084,0,0
rejected_global_cluster_000047,global_cluster_000057,merge_component_000085,below_global_cluster_salience_policy,0.95,57,1,1,the terrain,the terrain,chunk_000::cluster_085,0,0
rejected_global_cluster_000049,global_cluster_000059,merge_component_000087,below_global_cluster_salience_policy,0.95,57,1,1,"a gelatinous, diaphanous mass","a gelatinous, diaphanous mass",chunk_000::cluster_087,0,0
rejected_global_cluster_000050,global_cluster_000060,merge_component_000091,below_global_cluster_salience_policy,0.95,57,1,1,Canberra,canberra,chunk_000::cluster_092,0,0
rejected_global_cluster_000051,global_cluster_000061,merge_component_000092,below_global_cluster_salience_policy,0.95,57,1,1,a certain Sullivan,a certain sullivan,chunk_000::cluster_093,0,0
rejected_global_cluster_000052,global_cluster_000062,merge_component_000093,below_global_cluster_salience_policy,0.95,57,1,1,a retired railroad man,a retired railroad man,chunk_000::cluster_094,0,0
rejected_global_cluster_000053,global_cluster_000063,merge_component_000095,below_global_cluster_salience_policy,0.95,57,1,1,a darling forest,a darling forest,chunk_000::cluster_096,0,0
rejected_global_cluster_000054,global_cluster_000064,merge_component_000096,below_global_cluster_salience_policy,0.95,57,1,1,"the planets, made of helium and hydrogen","the planets, made of helium and hydrogen",chunk_000::cluster_097,0,0
rejected_global_cluster_000055,global_cluster_000065,merge_component_000097,below_global_cluster_salience_policy,0.95,57,1,1,a comet,a comet,chunk_000::cluster_098,0,0
rejected_global_cluster_000056,global_cluster_000066,merge_component_000098,below_global_cluster_salience_policy,0.95,57,1,1,us,us,chunk_000::cluster_099,0,0
