relation_id,source_mention_id,predicate_token_i,predicate_start,predicate_end,target_mention_id,source_cluster_id,target_cluster_id,object_property_probabilities_json,selection_method
rel_167_1775_170,167,1775,1775,1776,170,0,10,"{""https://example.org/narrative-character-ontology#trusts"": 0.20458988839982417, ""https://example.org/narrative-character-ontology#opposes"": 0.09091929771400944, ""https://example.org/narrative-character-ontology#guides"": 0.1273432679233549, ""https://example.org/narrative-character-ontology#follows"": 0.11777327020998798, ""https://example.org/narrative-character-ontology#fears"": 0.18856908949132892, ""https://example.org/narrative-character-ontology#deceives"": 0.10292450025706364, ""https://example.org/narrative-character-ontology#caresFor"": 0.1678806860044311}",nli_grouped_softmax
rel_169_1775_170,169,1775,1775,1776,170,6,10,"{""https://example.org/narrative-character-ontology#trusts"": 0.24687499801164203, ""https://example.org/narrative-character-ontology#opposes"": 0.06950690310664448, ""https://example.org/narrative-character-ontology#guides"": 0.10818133916531712, ""https://example.org/narrative-character-ontology#follows"": 0.09145436780906152, ""https://example.org/narrative-character-ontology#fears"": 0.24468483502596972, ""https://example.org/narrative-character-ontology#deceives"": 0.0777680563736556, ""https://example.org/narrative-character-ontology#caresFor"": 0.16152950050770942}",nli_grouped_softmax
rel_174_1814_176,174,1814,1814,1817,176,10,11,"{""https://example.org/narrative-character-ontology#travelsTo"": 0.26038817844227685, ""https://example.org/narrative-character-ontology#rulesOver"": 0.16231148915235902, ""https://example.org/narrative-character-ontology#locatedIn"": 0.17143509867786494, ""https://example.org/narrative-character-ontology#leavesPlace"": 0.4058652337274991}",nli_grouped_softmax
rel_200_2249_202,200,2249,2249,2259,202,0,11,"{""https://example.org/narrative-character-ontology#travelsTo"": 0.240665020570656, ""https://example.org/narrative-character-ontology#rulesOver"": 0.15134149247716333, ""https://example.org/narrative-character-ontology#locatedIn"": 0.21902102487792682, ""https://example.org/narrative-character-ontology#leavesPlace"": 0.3889724620742539}",nli_grouped_softmax
rel_242_2718_243,242,2718,2718,2720,243,3,2,"{""https://example.org/narrative-character-ontology#heals"": 0.2474865401215772, ""https://example.org/narrative-character-ontology#empowers"": 0.25534260621519944, ""https://example.org/narrative-character-ontology#curses"": 0.2856910221459932, ""https://example.org/narrative-character-ontology#corrupts"": 0.2114798315172301}",nli_grouped_softmax
rel_311_3690_312,311,3690,3690,3691,312,0,3,"{""https://example.org/narrative-character-ontology#usesObject"": 0.41281510879850225, ""https://example.org/narrative-character-ontology#possessesObject"": 0.09675617461723383, ""https://example.org/narrative-character-ontology#destroysObject"": 0.3581787060745918, ""https://example.org/narrative-character-ontology#createsObject"": 0.13225001050967222}",nli_grouped_softmax
rel_346_3999_347,346,3999,3999,4002,347,9,3,"{""https://example.org/narrative-character-ontology#usesObject"": 0.36488371148124443, ""https://example.org/narrative-character-ontology#possessesObject"": 0.24713389298942112, ""https://example.org/narrative-character-ontology#destroysObject"": 0.21325088344664503, ""https://example.org/narrative-character-ontology#createsObject"": 0.1747315120826892}",nli_grouped_softmax
rel_388_4409_389,388,4409,4409,4410,389,3,0,"{""https://example.org/narrative-character-ontology#heals"": 0.17305458804457405, ""https://example.org/narrative-character-ontology#empowers"": 0.13165298804311282, ""https://example.org/narrative-character-ontology#curses"": 0.536178140512211, ""https://example.org/narrative-character-ontology#corrupts"": 0.15911428340010217}",nli_grouped_softmax
rel_407_4524_408,407,4524,4524,4525,408,7,3,"{""https://example.org/narrative-character-ontology#usesObject"": 0.4437022541527221, ""https://example.org/narrative-character-ontology#possessesObject"": 0.1912070483561369, ""https://example.org/narrative-character-ontology#destroysObject"": 0.1953594585337032, ""https://example.org/narrative-character-ontology#createsObject"": 0.1697312389574379}",nli_grouped_softmax
rel_497_5444_498,497,5444,5444,5446,498,3,9,"{""https://example.org/narrative-character-ontology#heals"": 0.15540486874004963, ""https://example.org/narrative-character-ontology#empowers"": 0.36062211701441604, ""https://example.org/narrative-character-ontology#curses"": 0.2669468013895905, ""https://example.org/narrative-character-ontology#corrupts"": 0.2170262128559438}",nli_grouped_softmax
rel_540_5947_542,540,5947,5947,5948,542,3,11,"{""https://example.org/narrative-character-ontology#locatedIn"": 1.0}",single_candidate_router
rel_641_7120_642,641,7120,7120,7122,642,3,5,"{""https://example.org/narrative-character-ontology#locatedIn"": 1.0}",single_candidate_router
rel_648_7200_649,648,7200,7200,7202,649,0,3,"{""https://example.org/narrative-character-ontology#usesObject"": 0.440566655801461, ""https://example.org/narrative-character-ontology#possessesObject"": 0.19228145112494663, ""https://example.org/narrative-character-ontology#destroysObject"": 0.20428315883758727, ""https://example.org/narrative-character-ontology#createsObject"": 0.16286873423600517}",nli_grouped_softmax
rel_678_7449_679,678,7449,7449,7456,679,0,2,"{""https://example.org/narrative-character-ontology#trusts"": 0.16558307203819683, ""https://example.org/narrative-character-ontology#opposes"": 0.09926115088421386, ""https://example.org/narrative-character-ontology#guides"": 0.2159610386371708, ""https://example.org/narrative-character-ontology#follows"": 0.13794510652730207, ""https://example.org/narrative-character-ontology#fears"": 0.07219673979855368, ""https://example.org/narrative-character-ontology#deceives"": 0.1770385571726834, ""https://example.org/narrative-character-ontology#caresFor"": 0.13201433494187934}",nli_grouped_softmax
rel_697_7555_699,697,7555,7555,7558,699,2,3,"{""https://example.org/narrative-character-ontology#usesObject"": 0.3990153772312361, ""https://example.org/narrative-character-ontology#possessesObject"": 0.20439505046167183, ""https://example.org/narrative-character-ontology#destroysObject"": 0.217789980357821, ""https://example.org/narrative-character-ontology#createsObject"": 0.178799591949271}",nli_grouped_softmax
rel_729_7854_731,729,7854,7854,7855,731,3,11,"{""https://example.org/narrative-character-ontology#locatedIn"": 1.0}",single_candidate_router
rel_743_7942_744,743,7942,7942,7944,744,7,11,"{""https://example.org/narrative-character-ontology#travelsTo"": 0.2182315159269219, ""https://example.org/narrative-character-ontology#rulesOver"": 0.0845888611188024, ""https://example.org/narrative-character-ontology#locatedIn"": 0.22231853291447476, ""https://example.org/narrative-character-ontology#leavesPlace"": 0.474861090039801}",nli_grouped_softmax
rel_769_8125_770,769,8125,8125,8127,770,7,3,"{""https://example.org/narrative-character-ontology#usesObject"": 0.4386124093482331, ""https://example.org/narrative-character-ontology#possessesObject"": 0.21292923461871285, ""https://example.org/narrative-character-ontology#destroysObject"": 0.1384204532926692, ""https://example.org/narrative-character-ontology#createsObject"": 0.21003790274038472}",nli_grouped_softmax
rel_792_8273_794,792,8273,8273,8274,794,3,7,"{""https://example.org/narrative-character-ontology#heals"": 0.21242149512334932, ""https://example.org/narrative-character-ontology#empowers"": 0.23766857778691122, ""https://example.org/narrative-character-ontology#curses"": 0.25899653232232234, ""https://example.org/narrative-character-ontology#corrupts"": 0.29091339476741707}",nli_grouped_softmax
rel_808_8438_809,808,8438,8438,8439,809,3,7,"{""https://example.org/narrative-character-ontology#heals"": 0.12553476143186706, ""https://example.org/narrative-character-ontology#empowers"": 0.22335324550941116, ""https://example.org/narrative-character-ontology#curses"": 0.39353138715893377, ""https://example.org/narrative-character-ontology#corrupts"": 0.257580605899788}",nli_grouped_softmax
rel_838_8647_839,838,8647,8647,8649,839,7,3,"{""https://example.org/narrative-character-ontology#usesObject"": 0.39741208169512565, ""https://example.org/narrative-character-ontology#possessesObject"": 0.18194850937113477, ""https://example.org/narrative-character-ontology#destroysObject"": 0.20457020790556965, ""https://example.org/narrative-character-ontology#createsObject"": 0.2160692010281699}",nli_grouped_softmax
rel_886_9133_887,886,9133,9133,9135,887,7,3,"{""https://example.org/narrative-character-ontology#usesObject"": 0.38295105889109776, ""https://example.org/narrative-character-ontology#possessesObject"": 0.1903164946132314, ""https://example.org/narrative-character-ontology#destroysObject"": 0.19559226218590733, ""https://example.org/narrative-character-ontology#createsObject"": 0.23114018430976352}",nli_grouped_softmax
rel_901_9349_902,901,9349,9349,9350,902,7,3,"{""https://example.org/narrative-character-ontology#usesObject"": 0.5383313944979693, ""https://example.org/narrative-character-ontology#possessesObject"": 0.16555030836814433, ""https://example.org/narrative-character-ontology#destroysObject"": 0.10219198516797362, ""https://example.org/narrative-character-ontology#createsObject"": 0.19392631196591267}",nli_grouped_softmax
rel_903_9354_904,903,9354,9354,9356,904,7,3,"{""https://example.org/narrative-character-ontology#usesObject"": 0.3626655161340474, ""https://example.org/narrative-character-ontology#possessesObject"": 0.19564337103283874, ""https://example.org/narrative-character-ontology#destroysObject"": 0.230974910326615, ""https://example.org/narrative-character-ontology#createsObject"": 0.21071620250649892}",nli_grouped_softmax
rel_921_9559_922,921,9559,9559,9561,922,7,3,"{""https://example.org/narrative-character-ontology#usesObject"": 0.39007509892509035, ""https://example.org/narrative-character-ontology#possessesObject"": 0.22976163614348036, ""https://example.org/narrative-character-ontology#destroysObject"": 0.197873580495619, ""https://example.org/narrative-character-ontology#createsObject"": 0.18228968443581034}",nli_grouped_softmax
rel_950_9772_951,950,9772,9772,9773,951,3,7,"{""https://example.org/narrative-character-ontology#heals"": 0.22731636501222888, ""https://example.org/narrative-character-ontology#empowers"": 0.2585913394611677, ""https://example.org/narrative-character-ontology#curses"": 0.2347613082015832, ""https://example.org/narrative-character-ontology#corrupts"": 0.27933098732502026}",nli_grouped_softmax
rel_950_9772_952,950,9772,9772,9775,952,3,11,"{""https://example.org/narrative-character-ontology#locatedIn"": 1.0}",single_candidate_router
rel_991_10104_994,991,10104,10104,10108,994,6,1,"{""https://example.org/narrative-character-ontology#travelsTo"": 0.16156439477135412, ""https://example.org/narrative-character-ontology#rulesOver"": 0.14646101168221282, ""https://example.org/narrative-character-ontology#locatedIn"": 0.4312617937782535, ""https://example.org/narrative-character-ontology#leavesPlace"": 0.2607127997681796}",nli_grouped_softmax
rel_1001_10166_1002,1001,10166,10166,10167,1002,0,13,"{""https://example.org/narrative-character-ontology#participatesIn"": 1.0}",single_candidate_router
rel_1011_10234_1012,1011,10234,10234,10235,1012,0,2,"{""https://example.org/narrative-character-ontology#trusts"": 0.1335114840578749, ""https://example.org/narrative-character-ontology#opposes"": 0.19421064256108708, ""https://example.org/narrative-character-ontology#guides"": 0.10843811965754076, ""https://example.org/narrative-character-ontology#follows"": 0.11419842403078273, ""https://example.org/narrative-character-ontology#fears"": 0.27564175895767895, ""https://example.org/narrative-character-ontology#deceives"": 0.08445169250408345, ""https://example.org/narrative-character-ontology#caresFor"": 0.08954787823095198}",nli_grouped_softmax
rel_1011_10234_1013,1011,10234,10234,10235,1013,0,12,"{""https://example.org/narrative-character-ontology#trusts"": 0.14322031907730814, ""https://example.org/narrative-character-ontology#opposes"": 0.2210131115599909, ""https://example.org/narrative-character-ontology#guides"": 0.12437122661052145, ""https://example.org/narrative-character-ontology#follows"": 0.13265131332439425, ""https://example.org/narrative-character-ontology#fears"": 0.16452392699061047, ""https://example.org/narrative-character-ontology#deceives"": 0.09507976479297046, ""https://example.org/narrative-character-ontology#caresFor"": 0.11914033764420426}",nli_grouped_softmax
rel_1011_10234_1014,1011,10234,10234,10235,1014,0,15,"{""https://example.org/narrative-character-ontology#trusts"": 0.15171775359370268, ""https://example.org/narrative-character-ontology#opposes"": 0.18992538517936416, ""https://example.org/narrative-character-ontology#guides"": 0.10230708643753444, ""https://example.org/narrative-character-ontology#follows"": 0.10545163156378944, ""https://example.org/narrative-character-ontology#fears"": 0.29084158758449763, ""https://example.org/narrative-character-ontology#deceives"": 0.07543651500691105, ""https://example.org/narrative-character-ontology#caresFor"": 0.08432004063420045}",nli_grouped_softmax
rel_1056_10479_1057,1056,10479,10479,10480,1057,0,2,"{""https://example.org/narrative-character-ontology#trusts"": 0.18820565339581968, ""https://example.org/narrative-character-ontology#opposes"": 0.18051018795115306, ""https://example.org/narrative-character-ontology#guides"": 0.11794873840105442, ""https://example.org/narrative-character-ontology#follows"": 0.11096501300765946, ""https://example.org/narrative-character-ontology#fears"": 0.09330513181788269, ""https://example.org/narrative-character-ontology#deceives"": 0.22972342522290737, ""https://example.org/narrative-character-ontology#caresFor"": 0.07934185020352312}",nli_grouped_softmax
rel_1056_10479_1058,1056,10479,10479,10480,1058,0,12,"{""https://example.org/narrative-character-ontology#trusts"": 0.18506585782428342, ""https://example.org/narrative-character-ontology#opposes"": 0.1693291683871349, ""https://example.org/narrative-character-ontology#guides"": 0.12232106276335743, ""https://example.org/narrative-character-ontology#follows"": 0.1176350164379082, ""https://example.org/narrative-character-ontology#fears"": 0.09521723532291755, ""https://example.org/narrative-character-ontology#deceives"": 0.22377770175524922, ""https://example.org/narrative-character-ontology#caresFor"": 0.08665395750914917}",nli_grouped_softmax
rel_1056_10479_1059,1056,10479,10479,10480,1059,0,15,"{""https://example.org/narrative-character-ontology#trusts"": 0.19788776797651517, ""https://example.org/narrative-character-ontology#opposes"": 0.17134123130493747, ""https://example.org/narrative-character-ontology#guides"": 0.12263156045352709, ""https://example.org/narrative-character-ontology#follows"": 0.11182098678640594, ""https://example.org/narrative-character-ontology#fears"": 0.0970095489639142, ""https://example.org/narrative-character-ontology#deceives"": 0.2243457352397269, ""https://example.org/narrative-character-ontology#caresFor"": 0.07496316927497314}",nli_grouped_softmax
rel_1076_10530_1077,1076,10530,10530,10531,1077,0,2,"{""https://example.org/narrative-character-ontology#trusts"": 0.0736554884918808, ""https://example.org/narrative-character-ontology#opposes"": 0.0233585050883507, ""https://example.org/narrative-character-ontology#guides"": 0.08875875744346547, ""https://example.org/narrative-character-ontology#follows"": 0.09503844309526409, ""https://example.org/narrative-character-ontology#fears"": 0.012261078693269447, ""https://example.org/narrative-character-ontology#deceives"": 0.025956703797340733, ""https://example.org/narrative-character-ontology#caresFor"": 0.6809710233904287}",nli_grouped_softmax
rel_1076_10530_1078,1076,10530,10530,10531,1078,0,12,"{""https://example.org/narrative-character-ontology#trusts"": 0.09359245880449765, ""https://example.org/narrative-character-ontology#opposes"": 0.025737116888731815, ""https://example.org/narrative-character-ontology#guides"": 0.1065732587661316, ""https://example.org/narrative-character-ontology#follows"": 0.11647769691746723, ""https://example.org/narrative-character-ontology#fears"": 0.01426901548132104, ""https://example.org/narrative-character-ontology#deceives"": 0.029913946563849672, ""https://example.org/narrative-character-ontology#caresFor"": 0.613436506578001}",nli_grouped_softmax
rel_1076_10530_1079,1076,10530,10530,10531,1079,0,15,"{""https://example.org/narrative-character-ontology#trusts"": 0.1189653532550774, ""https://example.org/narrative-character-ontology#opposes"": 0.022407566855184413, ""https://example.org/narrative-character-ontology#guides"": 0.1371290077776213, ""https://example.org/narrative-character-ontology#follows"": 0.14307981395485425, ""https://example.org/narrative-character-ontology#fears"": 0.013044715155929976, ""https://example.org/narrative-character-ontology#deceives"": 0.029859650363583876, ""https://example.org/narrative-character-ontology#caresFor"": 0.5355138926377488}",nli_grouped_softmax
rel_1085_10556_1088,1085,10556,10556,10558,1088,2,0,"{""https://example.org/narrative-character-ontology#trusts"": 0.09237303465024294, ""https://example.org/narrative-character-ontology#opposes"": 0.049154860274540135, ""https://example.org/narrative-character-ontology#guides"": 0.15929486446592947, ""https://example.org/narrative-character-ontology#follows"": 0.13519179559067007, ""https://example.org/narrative-character-ontology#fears"": 0.018548081365383207, ""https://example.org/narrative-character-ontology#deceives"": 0.05883066474688226, ""https://example.org/narrative-character-ontology#caresFor"": 0.48660669890635194}",nli_grouped_softmax
rel_1086_10556_1088,1086,10556,10556,10558,1088,12,0,"{""https://example.org/narrative-character-ontology#trusts"": 0.08325569508015697, ""https://example.org/narrative-character-ontology#opposes"": 0.04344630947813695, ""https://example.org/narrative-character-ontology#guides"": 0.14755222204640578, ""https://example.org/narrative-character-ontology#follows"": 0.12208640550492349, ""https://example.org/narrative-character-ontology#fears"": 0.017485459693278537, ""https://example.org/narrative-character-ontology#deceives"": 0.04743766511770825, ""https://example.org/narrative-character-ontology#caresFor"": 0.5387362430793902}",nli_grouped_softmax
rel_1087_10556_1088,1087,10556,10556,10558,1088,15,0,"{""https://example.org/narrative-character-ontology#trusts"": 0.10005394399422203, ""https://example.org/narrative-character-ontology#opposes"": 0.04240689822476081, ""https://example.org/narrative-character-ontology#guides"": 0.2199295211758057, ""https://example.org/narrative-character-ontology#follows"": 0.13635745632544824, ""https://example.org/narrative-character-ontology#fears"": 0.01593942209976382, ""https://example.org/narrative-character-ontology#deceives"": 0.0540277899550164, ""https://example.org/narrative-character-ontology#caresFor"": 0.431284968224983}",nli_grouped_softmax
rel_1089_10563_1090,1089,10563,10563,10564,1090,0,2,"{""https://example.org/narrative-character-ontology#trusts"": 0.05501625644148978, ""https://example.org/narrative-character-ontology#opposes"": 0.05138104541593677, ""https://example.org/narrative-character-ontology#guides"": 0.12265634791731342, ""https://example.org/narrative-character-ontology#follows"": 0.12349769145524278, ""https://example.org/narrative-character-ontology#fears"": 0.013299239301595387, ""https://example.org/narrative-character-ontology#deceives"": 0.044902959837081036, ""https://example.org/narrative-character-ontology#caresFor"": 0.5892464596313407}",nli_grouped_softmax
rel_1089_10563_1091,1089,10563,10563,10564,1091,0,12,"{""https://example.org/narrative-character-ontology#trusts"": 0.057690475995640145, ""https://example.org/narrative-character-ontology#opposes"": 0.04466689950893826, ""https://example.org/narrative-character-ontology#guides"": 0.10862532756682165, ""https://example.org/narrative-character-ontology#follows"": 0.11428391664765546, ""https://example.org/narrative-character-ontology#fears"": 0.01470083947292564, ""https://example.org/narrative-character-ontology#deceives"": 0.04312386146346781, ""https://example.org/narrative-character-ontology#caresFor"": 0.6169086793445511}",nli_grouped_softmax
rel_1089_10563_1092,1089,10563,10563,10564,1092,0,15,"{""https://example.org/narrative-character-ontology#trusts"": 0.10740170707629125, ""https://example.org/narrative-character-ontology#opposes"": 0.042306276324596805, ""https://example.org/narrative-character-ontology#guides"": 0.14326012217608214, ""https://example.org/narrative-character-ontology#follows"": 0.12766729715018527, ""https://example.org/narrative-character-ontology#fears"": 0.015292420699095853, ""https://example.org/narrative-character-ontology#deceives"": 0.058336298419579914, ""https://example.org/narrative-character-ontology#caresFor"": 0.5057358781541688}",nli_grouped_softmax
rel_1096_10580_1099,1096,10580,10580,10581,1099,2,7,"{""https://example.org/narrative-character-ontology#trusts"": 0.12262995248541347, ""https://example.org/narrative-character-ontology#opposes"": 0.19692129217769716, ""https://example.org/narrative-character-ontology#guides"": 0.24844611769163596, ""https://example.org/narrative-character-ontology#follows"": 0.16485556745653468, ""https://example.org/narrative-character-ontology#fears"": 0.056695051359290476, ""https://example.org/narrative-character-ontology#deceives"": 0.08661864168123279, ""https://example.org/narrative-character-ontology#caresFor"": 0.12383337714819535}",nli_grouped_softmax
rel_1097_10580_1099,1097,10580,10580,10581,1099,12,7,"{""https://example.org/narrative-character-ontology#trusts"": 0.12673268161748105, ""https://example.org/narrative-character-ontology#opposes"": 0.2326422518751896, ""https://example.org/narrative-character-ontology#guides"": 0.26542645892705313, ""https://example.org/narrative-character-ontology#follows"": 0.10946398860226676, ""https://example.org/narrative-character-ontology#fears"": 0.040269550955399025, ""https://example.org/narrative-character-ontology#deceives"": 0.0938125599988076, ""https://example.org/narrative-character-ontology#caresFor"": 0.13165250802380285}",nli_grouped_softmax
rel_1098_10580_1099,1098,10580,10580,10581,1099,15,7,"{""https://example.org/narrative-character-ontology#trusts"": 0.12481060323450101, ""https://example.org/narrative-character-ontology#opposes"": 0.19274493347820534, ""https://example.org/narrative-character-ontology#guides"": 0.2518782539790922, ""https://example.org/narrative-character-ontology#follows"": 0.12239654764199538, ""https://example.org/narrative-character-ontology#fears"": 0.05132230942084828, ""https://example.org/narrative-character-ontology#deceives"": 0.11430916932407949, ""https://example.org/narrative-character-ontology#caresFor"": 0.14253818292127834}",nli_grouped_softmax
rel_1145_10937_1146,1145,10937,10937,10939,1146,7,14,"{""https://example.org/narrative-character-ontology#usesObject"": 0.49539550018009937, ""https://example.org/narrative-character-ontology#possessesObject"": 0.2881163081368235, ""https://example.org/narrative-character-ontology#destroysObject"": 0.10064570049724585, ""https://example.org/narrative-character-ontology#createsObject"": 0.1158424911858312}",nli_grouped_softmax
rel_1156_11027_1157,1156,11027,11027,11029,1157,0,6,"{""https://example.org/narrative-character-ontology#trusts"": 0.15341010490764295, ""https://example.org/narrative-character-ontology#opposes"": 0.13147515319731004, ""https://example.org/narrative-character-ontology#guides"": 0.1996940878238436, ""https://example.org/narrative-character-ontology#follows"": 0.13057946219906238, ""https://example.org/narrative-character-ontology#fears"": 0.06800887403625464, ""https://example.org/narrative-character-ontology#deceives"": 0.13160360961425532, ""https://example.org/narrative-character-ontology#caresFor"": 0.1852287082216311}",nli_grouped_softmax
rel_1156_11027_1158,1156,11027,11027,11029,1158,0,7,"{""https://example.org/narrative-character-ontology#trusts"": 0.1548325867946125, ""https://example.org/narrative-character-ontology#opposes"": 0.13919824436645573, ""https://example.org/narrative-character-ontology#guides"": 0.17425304258319632, ""https://example.org/narrative-character-ontology#follows"": 0.14933791670708743, ""https://example.org/narrative-character-ontology#fears"": 0.0864301553793517, ""https://example.org/narrative-character-ontology#deceives"": 0.12489841139192831, ""https://example.org/narrative-character-ontology#caresFor"": 0.1710496427773679}",nli_grouped_softmax
rel_1167_11092_1168,1167,11092,11092,11093,1168,0,14,"{""https://example.org/narrative-character-ontology#usesObject"": 0.4306015751097907, ""https://example.org/narrative-character-ontology#possessesObject"": 0.22583338676375522, ""https://example.org/narrative-character-ontology#destroysObject"": 0.21578127396721886, ""https://example.org/narrative-character-ontology#createsObject"": 0.12778376415923515}",nli_grouped_softmax
rel_1177_11235_1178,1177,11235,11235,11236,1178,6,7,"{""https://example.org/narrative-character-ontology#trusts"": 0.12655189898818142, ""https://example.org/narrative-character-ontology#opposes"": 0.17399244308260742, ""https://example.org/narrative-character-ontology#guides"": 0.13926180039238928, ""https://example.org/narrative-character-ontology#follows"": 0.1151143440208067, ""https://example.org/narrative-character-ontology#fears"": 0.07133665603591528, ""https://example.org/narrative-character-ontology#deceives"": 0.10491520922222716, ""https://example.org/narrative-character-ontology#caresFor"": 0.26882764825787264}",nli_grouped_softmax
rel_1186_11288_1187,1186,11288,11288,11293,1187,7,14,"{""https://example.org/narrative-character-ontology#usesObject"": 0.4539315773359191, ""https://example.org/narrative-character-ontology#possessesObject"": 0.18412276311334227, ""https://example.org/narrative-character-ontology#destroysObject"": 0.17637880370837863, ""https://example.org/narrative-character-ontology#createsObject"": 0.18556685584236002}",nli_grouped_softmax
rel_1204_11379_1205,1204,11379,11379,11380,1205,6,7,"{""https://example.org/narrative-character-ontology#trusts"": 0.13970653438620365, ""https://example.org/narrative-character-ontology#opposes"": 0.09225024853719031, ""https://example.org/narrative-character-ontology#guides"": 0.12377312956836732, ""https://example.org/narrative-character-ontology#follows"": 0.12895531056174295, ""https://example.org/narrative-character-ontology#fears"": 0.09829582356098335, ""https://example.org/narrative-character-ontology#deceives"": 0.1138026621425727, ""https://example.org/narrative-character-ontology#caresFor"": 0.3032162912429398}",nli_grouped_softmax
rel_1217_11443_1218,1217,11443,11443,11444,1218,3,7,"{""https://example.org/narrative-character-ontology#heals"": 0.1737491517549368, ""https://example.org/narrative-character-ontology#empowers"": 0.16418141039876272, ""https://example.org/narrative-character-ontology#curses"": 0.26937087969548557, ""https://example.org/narrative-character-ontology#corrupts"": 0.3926985581508149}",nli_grouped_softmax
rel_1222_11480_1223,1222,11480,11480,11481,1223,7,14,"{""https://example.org/narrative-character-ontology#usesObject"": 0.3491246296471021, ""https://example.org/narrative-character-ontology#possessesObject"": 0.2327943686604039, ""https://example.org/narrative-character-ontology#destroysObject"": 0.19507765566355345, ""https://example.org/narrative-character-ontology#createsObject"": 0.22300334602894048}",nli_grouped_softmax
rel_1287_12284_1288,1287,12284,12284,12285,1288,0,2,"{""https://example.org/narrative-character-ontology#trusts"": 0.14893873252782244, ""https://example.org/narrative-character-ontology#opposes"": 0.12876991636508262, ""https://example.org/narrative-character-ontology#guides"": 0.15381669370014908, ""https://example.org/narrative-character-ontology#follows"": 0.1338995266774126, ""https://example.org/narrative-character-ontology#fears"": 0.06865685405475563, ""https://example.org/narrative-character-ontology#deceives"": 0.22184357808338898, ""https://example.org/narrative-character-ontology#caresFor"": 0.14407469859138866}",nli_grouped_softmax
