relation_id,source_mention_id,predicate_token_i,predicate_start,predicate_end,target_mention_id,source_cluster_id,target_cluster_id,object_property_logits_json,selection_method
rel_258_3007_259,258,3007,3007,3011,259,3,5,"{""https://example.org/nlp-sdai/narrative-entity-ontology#movesToward"": -0.5400390625, ""https://example.org/nlp-sdai/narrative-entity-ontology#memberOf"": -1.0146484375, ""https://example.org/nlp-sdai/narrative-entity-ontology#holdsAttitudeToward"": 0.213623046875, ""https://example.org/nlp-sdai/narrative-entity-ontology#harms"": -1.8935546875, ""https://example.org/nlp-sdai/narrative-entity-ontology#guides"": -0.1485595703125}",nli_grouped_softmax
rel_318_3402_319,318,3402,3402,3404,319,3,11,"{""https://example.org/nlp-sdai/narrative-entity-ontology#movesToward"": -0.3515625, ""https://example.org/nlp-sdai/narrative-entity-ontology#locatedIn"": -2.224609375, ""https://example.org/nlp-sdai/narrative-entity-ontology#holdsAttitudeToward"": -0.84423828125, ""https://example.org/nlp-sdai/narrative-entity-ontology#harms"": -2.0859375, ""https://example.org/nlp-sdai/narrative-entity-ontology#guides"": 0.0205078125}",nli_grouped_softmax
rel_320_3412_321,320,3412,3412,3413,321,9,3,"{""https://example.org/nlp-sdai/narrative-entity-ontology#movesToward"": -1.0908203125, ""https://example.org/nlp-sdai/narrative-entity-ontology#holdsAttitudeToward"": -0.89990234375, ""https://example.org/nlp-sdai/narrative-entity-ontology#harms"": -2.2890625, ""https://example.org/nlp-sdai/narrative-entity-ontology#guides"": -0.4111328125, ""https://example.org/nlp-sdai/narrative-entity-ontology#accompanies"": -1.966796875}",nli_grouped_softmax
rel_328_3449_330,328,3449,3449,3450,330,1,3,"{""https://example.org/nlp-sdai/narrative-entity-ontology#movesToward"": -1.2470703125, ""https://example.org/nlp-sdai/narrative-entity-ontology#holdsAttitudeToward"": -0.6064453125, ""https://example.org/nlp-sdai/narrative-entity-ontology#harms"": -2.37890625, ""https://example.org/nlp-sdai/narrative-entity-ontology#guides"": -0.98876953125, ""https://example.org/nlp-sdai/narrative-entity-ontology#accompanies"": -1.3056640625}",nli_grouped_softmax
rel_329_3449_330,329,3449,3449,3450,330,5,3,"{""https://example.org/nlp-sdai/narrative-entity-ontology#hasMember"": 0.0}",single_candidate_router
rel_337_3492_339,337,3492,3492,3493,339,1,9,"{""https://example.org/nlp-sdai/narrative-entity-ontology#movesToward"": -1.314453125, ""https://example.org/nlp-sdai/narrative-entity-ontology#holdsAttitudeToward"": -1.3056640625, ""https://example.org/nlp-sdai/narrative-entity-ontology#harms"": -2.173828125, ""https://example.org/nlp-sdai/narrative-entity-ontology#guides"": -0.28466796875, ""https://example.org/nlp-sdai/narrative-entity-ontology#accompanies"": -1.57421875}",nli_grouped_softmax
rel_338_3492_339,338,3492,3492,3493,339,5,9,"{""https://example.org/nlp-sdai/narrative-entity-ontology#hasMember"": 0.0}",single_candidate_router
rel_349_3557_351,349,3557,3557,3559,351,1,3,"{""https://example.org/nlp-sdai/narrative-entity-ontology#movesToward"": -0.8408203125, ""https://example.org/nlp-sdai/narrative-entity-ontology#holdsAttitudeToward"": -0.166748046875, ""https://example.org/nlp-sdai/narrative-entity-ontology#harms"": -2.3046875, ""https://example.org/nlp-sdai/narrative-entity-ontology#guides"": -0.57080078125, ""https://example.org/nlp-sdai/narrative-entity-ontology#accompanies"": -0.239501953125}",nli_grouped_softmax
rel_350_3557_351,350,3557,3557,3559,351,5,3,"{""https://example.org/nlp-sdai/narrative-entity-ontology#hasMember"": 0.0}",single_candidate_router
rel_359_3599_361,359,3599,3599,3600,361,1,3,"{""https://example.org/nlp-sdai/narrative-entity-ontology#movesToward"": -1.205078125, ""https://example.org/nlp-sdai/narrative-entity-ontology#holdsAttitudeToward"": -0.49365234375, ""https://example.org/nlp-sdai/narrative-entity-ontology#harms"": -1.85546875, ""https://example.org/nlp-sdai/narrative-entity-ontology#guides"": -1.3876953125, ""https://example.org/nlp-sdai/narrative-entity-ontology#accompanies"": -1.533203125}",nli_grouped_softmax
rel_360_3599_361,360,3599,3599,3600,361,5,3,"{""https://example.org/nlp-sdai/narrative-entity-ontology#hasMember"": 0.0}",single_candidate_router
rel_375_3689_376,375,3689,3689,3691,376,3,9,"{""https://example.org/nlp-sdai/narrative-entity-ontology#movesToward"": -0.89892578125, ""https://example.org/nlp-sdai/narrative-entity-ontology#holdsAttitudeToward"": -1.4775390625, ""https://example.org/nlp-sdai/narrative-entity-ontology#harms"": -2.90625, ""https://example.org/nlp-sdai/narrative-entity-ontology#guides"": -0.64111328125, ""https://example.org/nlp-sdai/narrative-entity-ontology#accompanies"": -2.2890625}",nli_grouped_softmax
rel_384_3722_385,384,3722,3722,3725,385,5,1,"{""https://example.org/nlp-sdai/narrative-entity-ontology#hasMember"": 0.0}",single_candidate_router
rel_446_4166_447,446,4166,4166,4168,447,3,4,"{""https://example.org/nlp-sdai/narrative-entity-ontology#movesToward"": -0.939453125, ""https://example.org/nlp-sdai/narrative-entity-ontology#holdsAttitudeToward"": -0.435546875, ""https://example.org/nlp-sdai/narrative-entity-ontology#harms"": -2.841796875, ""https://example.org/nlp-sdai/narrative-entity-ontology#guides"": -0.66552734375, ""https://example.org/nlp-sdai/narrative-entity-ontology#accompanies"": -0.5986328125}",nli_grouped_softmax
rel_456_4243_458,456,4243,4243,4245,458,6,11,"{""https://example.org/nlp-sdai/narrative-entity-ontology#locatedIn"": -1.8896484375, ""https://example.org/nlp-sdai/narrative-entity-ontology#hasMember"": -1.9365234375}",nli_grouped_softmax
rel_457_4243_458,457,4243,4243,4245,458,15,11,"{""https://example.org/nlp-sdai/narrative-entity-ontology#locatedIn"": 0.0}",single_candidate_router
rel_463_4288_464,463,4288,4288,4292,464,4,3,"{""https://example.org/nlp-sdai/narrative-entity-ontology#movesToward"": 0.151611328125, ""https://example.org/nlp-sdai/narrative-entity-ontology#holdsAttitudeToward"": -0.358154296875, ""https://example.org/nlp-sdai/narrative-entity-ontology#harms"": -2.505859375, ""https://example.org/nlp-sdai/narrative-entity-ontology#guides"": 0.04296875, ""https://example.org/nlp-sdai/narrative-entity-ontology#accompanies"": 0.409912109375}",nli_grouped_softmax
rel_529_4905_530,529,4905,4905,4906,530,5,3,"{""https://example.org/nlp-sdai/narrative-entity-ontology#hasMember"": 0.0}",single_candidate_router
rel_531_4913_532,531,4913,4913,4914,532,5,3,"{""https://example.org/nlp-sdai/narrative-entity-ontology#hasMember"": 0.0}",single_candidate_router
rel_559_5123_560,559,5123,5123,5125,560,3,0,"{""https://example.org/nlp-sdai/narrative-entity-ontology#movesToward"": -0.6396484375, ""https://example.org/nlp-sdai/narrative-entity-ontology#locatedIn"": -2.291015625, ""https://example.org/nlp-sdai/narrative-entity-ontology#holdsAttitudeToward"": -0.89599609375, ""https://example.org/nlp-sdai/narrative-entity-ontology#harms"": -2.763671875, ""https://example.org/nlp-sdai/narrative-entity-ontology#guides"": -1.171875}",nli_grouped_softmax
rel_562_5139_564,562,5139,5139,5140,564,3,5,"{""https://example.org/nlp-sdai/narrative-entity-ontology#movesToward"": -0.70068359375, ""https://example.org/nlp-sdai/narrative-entity-ontology#memberOf"": -1.4423828125, ""https://example.org/nlp-sdai/narrative-entity-ontology#holdsAttitudeToward"": -0.77685546875, ""https://example.org/nlp-sdai/narrative-entity-ontology#harms"": -2.853515625, ""https://example.org/nlp-sdai/narrative-entity-ontology#guides"": -0.9814453125}",nli_grouped_softmax
rel_562_5139_565,562,5139,5139,5140,565,3,7,"{""https://example.org/nlp-sdai/narrative-entity-ontology#movesToward"": -0.45751953125, ""https://example.org/nlp-sdai/narrative-entity-ontology#holdsAttitudeToward"": -0.413818359375, ""https://example.org/nlp-sdai/narrative-entity-ontology#harms"": -2.705078125, ""https://example.org/nlp-sdai/narrative-entity-ontology#guides"": -0.541015625}",nli_grouped_softmax
rel_571_5200_572,571,5200,5200,5201,572,3,14,"{""https://example.org/nlp-sdai/narrative-entity-ontology#movesToward"": -1.4208984375, ""https://example.org/nlp-sdai/narrative-entity-ontology#holdsAttitudeToward"": -1.2734375, ""https://example.org/nlp-sdai/narrative-entity-ontology#harms"": -2.66015625, ""https://example.org/nlp-sdai/narrative-entity-ontology#guides"": -1.0048828125, ""https://example.org/nlp-sdai/narrative-entity-ontology#accompanies"": -0.85009765625}",nli_grouped_softmax
rel_597_5397_598,597,5397,5397,5401,598,14,3,"{""https://example.org/nlp-sdai/narrative-entity-ontology#movesToward"": -1.404296875, ""https://example.org/nlp-sdai/narrative-entity-ontology#holdsAttitudeToward"": -0.4453125, ""https://example.org/nlp-sdai/narrative-entity-ontology#harms"": -2.9765625, ""https://example.org/nlp-sdai/narrative-entity-ontology#guides"": -1.1533203125, ""https://example.org/nlp-sdai/narrative-entity-ontology#accompanies"": -1.486328125}",nli_grouped_softmax
rel_623_5570_624,623,5570,5570,5572,624,14,3,"{""https://example.org/nlp-sdai/narrative-entity-ontology#movesToward"": -1.02734375, ""https://example.org/nlp-sdai/narrative-entity-ontology#holdsAttitudeToward"": -0.39599609375, ""https://example.org/nlp-sdai/narrative-entity-ontology#harms"": -2.048828125, ""https://example.org/nlp-sdai/narrative-entity-ontology#guides"": -0.88525390625, ""https://example.org/nlp-sdai/narrative-entity-ontology#accompanies"": -1.08984375}",nli_grouped_softmax
rel_643_5674_646,643,5674,5674,5675,646,3,14,"{""https://example.org/nlp-sdai/narrative-entity-ontology#movesToward"": -1.0634765625, ""https://example.org/nlp-sdai/narrative-entity-ontology#holdsAttitudeToward"": -0.80810546875, ""https://example.org/nlp-sdai/narrative-entity-ontology#harms"": -2.537109375, ""https://example.org/nlp-sdai/narrative-entity-ontology#guides"": -0.9951171875, ""https://example.org/nlp-sdai/narrative-entity-ontology#accompanies"": -1.2587890625}",nli_grouped_softmax
rel_644_5674_645,644,5674,5674,5675,645,14,3,"{""https://example.org/nlp-sdai/narrative-entity-ontology#movesToward"": -1.234375, ""https://example.org/nlp-sdai/narrative-entity-ontology#holdsAttitudeToward"": -0.9521484375, ""https://example.org/nlp-sdai/narrative-entity-ontology#harms"": -2.556640625, ""https://example.org/nlp-sdai/narrative-entity-ontology#guides"": -1.236328125, ""https://example.org/nlp-sdai/narrative-entity-ontology#accompanies"": -1.40625}",nli_grouped_softmax
rel_651_5703_652,651,5703,5703,5705,652,3,11,"{""https://example.org/nlp-sdai/narrative-entity-ontology#movesToward"": 0.002994537353515625, ""https://example.org/nlp-sdai/narrative-entity-ontology#locatedIn"": -1.8544921875, ""https://example.org/nlp-sdai/narrative-entity-ontology#holdsAttitudeToward"": -0.9033203125, ""https://example.org/nlp-sdai/narrative-entity-ontology#harms"": -2.4140625, ""https://example.org/nlp-sdai/narrative-entity-ontology#guides"": -0.7666015625}",nli_grouped_softmax
rel_679_5819_681,679,5819,5819,5821,681,3,11,"{""https://example.org/nlp-sdai/narrative-entity-ontology#movesToward"": -0.75439453125, ""https://example.org/nlp-sdai/narrative-entity-ontology#locatedIn"": -2.123046875, ""https://example.org/nlp-sdai/narrative-entity-ontology#holdsAttitudeToward"": -0.6025390625, ""https://example.org/nlp-sdai/narrative-entity-ontology#harms"": -2.078125, ""https://example.org/nlp-sdai/narrative-entity-ontology#guides"": -0.88916015625}",nli_grouped_softmax
rel_680_5819_681,680,5819,5819,5821,681,14,11,"{""https://example.org/nlp-sdai/narrative-entity-ontology#movesToward"": -0.662109375, ""https://example.org/nlp-sdai/narrative-entity-ontology#locatedIn"": -1.9833984375, ""https://example.org/nlp-sdai/narrative-entity-ontology#holdsAttitudeToward"": -0.466796875, ""https://example.org/nlp-sdai/narrative-entity-ontology#harms"": -1.8818359375, ""https://example.org/nlp-sdai/narrative-entity-ontology#guides"": -0.75244140625}",nli_grouped_softmax
rel_680_5819_682,680,5819,5819,5825,682,14,3,"{""https://example.org/nlp-sdai/narrative-entity-ontology#movesToward"": -0.7607421875, ""https://example.org/nlp-sdai/narrative-entity-ontology#holdsAttitudeToward"": -0.385009765625, ""https://example.org/nlp-sdai/narrative-entity-ontology#harms"": -1.7841796875, ""https://example.org/nlp-sdai/narrative-entity-ontology#guides"": -0.60791015625, ""https://example.org/nlp-sdai/narrative-entity-ontology#accompanies"": -0.81982421875}",nli_grouped_softmax
rel_683_5830_684,683,5830,5830,5831,684,9,3,"{""https://example.org/nlp-sdai/narrative-entity-ontology#movesToward"": -1.205078125, ""https://example.org/nlp-sdai/narrative-entity-ontology#holdsAttitudeToward"": -0.80859375, ""https://example.org/nlp-sdai/narrative-entity-ontology#harms"": -2.046875, ""https://example.org/nlp-sdai/narrative-entity-ontology#guides"": -1.1162109375, ""https://example.org/nlp-sdai/narrative-entity-ontology#accompanies"": -1.9033203125}",nli_grouped_softmax
rel_683_5830_685,683,5830,5830,5831,685,9,14,"{""https://example.org/nlp-sdai/narrative-entity-ontology#movesToward"": -1.083984375, ""https://example.org/nlp-sdai/narrative-entity-ontology#holdsAttitudeToward"": -0.6982421875, ""https://example.org/nlp-sdai/narrative-entity-ontology#harms"": -1.8486328125, ""https://example.org/nlp-sdai/narrative-entity-ontology#guides"": -0.96923828125, ""https://example.org/nlp-sdai/narrative-entity-ontology#accompanies"": -1.517578125}",nli_grouped_softmax
rel_689_5851_690,689,5851,5851,5853,690,14,3,"{""https://example.org/nlp-sdai/narrative-entity-ontology#movesToward"": -0.70849609375, ""https://example.org/nlp-sdai/narrative-entity-ontology#holdsAttitudeToward"": -0.43359375, ""https://example.org/nlp-sdai/narrative-entity-ontology#harms"": -1.9736328125, ""https://example.org/nlp-sdai/narrative-entity-ontology#guides"": -0.34375, ""https://example.org/nlp-sdai/narrative-entity-ontology#accompanies"": -0.191162109375}",nli_grouped_softmax
rel_693_5863_694,693,5863,5863,5864,694,9,3,"{""https://example.org/nlp-sdai/narrative-entity-ontology#movesToward"": -1.4521484375, ""https://example.org/nlp-sdai/narrative-entity-ontology#holdsAttitudeToward"": -0.81103515625, ""https://example.org/nlp-sdai/narrative-entity-ontology#harms"": -1.9580078125, ""https://example.org/nlp-sdai/narrative-entity-ontology#guides"": -1.369140625, ""https://example.org/nlp-sdai/narrative-entity-ontology#accompanies"": -1.841796875}",nli_grouped_softmax
rel_693_5863_695,693,5863,5863,5864,695,9,14,"{""https://example.org/nlp-sdai/narrative-entity-ontology#movesToward"": -1.2763671875, ""https://example.org/nlp-sdai/narrative-entity-ontology#holdsAttitudeToward"": -0.84912109375, ""https://example.org/nlp-sdai/narrative-entity-ontology#harms"": -1.71484375, ""https://example.org/nlp-sdai/narrative-entity-ontology#guides"": -1.197265625, ""https://example.org/nlp-sdai/narrative-entity-ontology#accompanies"": -1.619140625}",nli_grouped_softmax
rel_726_6013_727,726,6013,6013,6014,727,3,9,"{""https://example.org/nlp-sdai/narrative-entity-ontology#movesToward"": -1.107421875, ""https://example.org/nlp-sdai/narrative-entity-ontology#holdsAttitudeToward"": -0.45458984375, ""https://example.org/nlp-sdai/narrative-entity-ontology#harms"": -2.33984375, ""https://example.org/nlp-sdai/narrative-entity-ontology#guides"": -0.6015625, ""https://example.org/nlp-sdai/narrative-entity-ontology#accompanies"": -1.275390625}",nli_grouped_softmax
rel_740_6077_741,740,6077,6077,6079,741,4,3,"{""https://example.org/nlp-sdai/narrative-entity-ontology#movesToward"": -1.6181640625, ""https://example.org/nlp-sdai/narrative-entity-ontology#holdsAttitudeToward"": -1.091796875, ""https://example.org/nlp-sdai/narrative-entity-ontology#harms"": -1.8447265625, ""https://example.org/nlp-sdai/narrative-entity-ontology#guides"": -1.5673828125, ""https://example.org/nlp-sdai/narrative-entity-ontology#accompanies"": -1.4970703125}",nli_grouped_softmax
rel_770_6337_772,770,6337,6337,6340,772,3,14,"{""https://example.org/nlp-sdai/narrative-entity-ontology#movesToward"": -0.8125, ""https://example.org/nlp-sdai/narrative-entity-ontology#holdsAttitudeToward"": -0.6904296875, ""https://example.org/nlp-sdai/narrative-entity-ontology#harms"": -2.552734375, ""https://example.org/nlp-sdai/narrative-entity-ontology#guides"": -1.375, ""https://example.org/nlp-sdai/narrative-entity-ontology#accompanies"": -1.0771484375}",nli_grouped_softmax
rel_778_6350_779,778,6350,6350,6351,779,14,3,"{""https://example.org/nlp-sdai/narrative-entity-ontology#movesToward"": -0.728515625, ""https://example.org/nlp-sdai/narrative-entity-ontology#holdsAttitudeToward"": -0.505859375, ""https://example.org/nlp-sdai/narrative-entity-ontology#harms"": -2.478515625, ""https://example.org/nlp-sdai/narrative-entity-ontology#guides"": -1.0166015625, ""https://example.org/nlp-sdai/narrative-entity-ontology#accompanies"": -0.54443359375}",nli_grouped_softmax
rel_818_6551_820,818,6551,6551,6552,820,3,14,"{""https://example.org/nlp-sdai/narrative-entity-ontology#movesToward"": -1.421875, ""https://example.org/nlp-sdai/narrative-entity-ontology#holdsAttitudeToward"": -0.92431640625, ""https://example.org/nlp-sdai/narrative-entity-ontology#harms"": -2.529296875, ""https://example.org/nlp-sdai/narrative-entity-ontology#guides"": -1.2685546875, ""https://example.org/nlp-sdai/narrative-entity-ontology#accompanies"": -1.3115234375}",nli_grouped_softmax
rel_818_6551_821,818,6551,6551,6555,821,3,0,"{""https://example.org/nlp-sdai/narrative-entity-ontology#movesToward"": -1.1787109375, ""https://example.org/nlp-sdai/narrative-entity-ontology#locatedIn"": -1.69140625, ""https://example.org/nlp-sdai/narrative-entity-ontology#holdsAttitudeToward"": -0.70263671875, ""https://example.org/nlp-sdai/narrative-entity-ontology#harms"": -2.455078125, ""https://example.org/nlp-sdai/narrative-entity-ontology#guides"": -1.0283203125}",nli_grouped_softmax
rel_829_6611_830,829,6611,6611,6612,830,3,0,"{""https://example.org/nlp-sdai/narrative-entity-ontology#movesToward"": -1.365234375, ""https://example.org/nlp-sdai/narrative-entity-ontology#locatedIn"": -2.15234375, ""https://example.org/nlp-sdai/narrative-entity-ontology#holdsAttitudeToward"": -0.93896484375, ""https://example.org/nlp-sdai/narrative-entity-ontology#harms"": -2.720703125, ""https://example.org/nlp-sdai/narrative-entity-ontology#guides"": -1.5458984375}",nli_grouped_softmax
rel_847_6737_848,847,6737,6737,6738,848,14,3,"{""https://example.org/nlp-sdai/narrative-entity-ontology#movesToward"": -0.91748046875, ""https://example.org/nlp-sdai/narrative-entity-ontology#holdsAttitudeToward"": -0.51318359375, ""https://example.org/nlp-sdai/narrative-entity-ontology#harms"": -2.73828125, ""https://example.org/nlp-sdai/narrative-entity-ontology#guides"": -0.912109375, ""https://example.org/nlp-sdai/narrative-entity-ontology#accompanies"": -1.056640625}",nli_grouped_softmax
rel_851_6755_852,851,6755,6755,6757,852,14,3,"{""https://example.org/nlp-sdai/narrative-entity-ontology#movesToward"": -0.9541015625, ""https://example.org/nlp-sdai/narrative-entity-ontology#holdsAttitudeToward"": 0.1278076171875, ""https://example.org/nlp-sdai/narrative-entity-ontology#harms"": -1.9453125, ""https://example.org/nlp-sdai/narrative-entity-ontology#guides"": 0.034576416015625, ""https://example.org/nlp-sdai/narrative-entity-ontology#accompanies"": -0.26318359375}",nli_grouped_softmax
rel_881_6933_883,881,6933,6933,6935,883,3,14,"{""https://example.org/nlp-sdai/narrative-entity-ontology#movesToward"": -1.564453125, ""https://example.org/nlp-sdai/narrative-entity-ontology#holdsAttitudeToward"": -1.0009765625, ""https://example.org/nlp-sdai/narrative-entity-ontology#harms"": -3.19921875, ""https://example.org/nlp-sdai/narrative-entity-ontology#guides"": -1.33984375, ""https://example.org/nlp-sdai/narrative-entity-ontology#accompanies"": -1.1787109375}",nli_grouped_softmax
rel_927_7150_928,927,7150,7150,7151,928,14,3,"{""https://example.org/nlp-sdai/narrative-entity-ontology#movesToward"": -1.26171875, ""https://example.org/nlp-sdai/narrative-entity-ontology#holdsAttitudeToward"": -1.181640625, ""https://example.org/nlp-sdai/narrative-entity-ontology#harms"": -1.9970703125, ""https://example.org/nlp-sdai/narrative-entity-ontology#guides"": -1.2685546875, ""https://example.org/nlp-sdai/narrative-entity-ontology#accompanies"": -1.306640625}",nli_grouped_softmax
rel_933_7170_935,933,7170,7170,7171,935,3,14,"{""https://example.org/nlp-sdai/narrative-entity-ontology#movesToward"": -0.71435546875, ""https://example.org/nlp-sdai/narrative-entity-ontology#holdsAttitudeToward"": -0.642578125, ""https://example.org/nlp-sdai/narrative-entity-ontology#harms"": -1.990234375, ""https://example.org/nlp-sdai/narrative-entity-ontology#guides"": -0.62939453125, ""https://example.org/nlp-sdai/narrative-entity-ontology#accompanies"": -0.4365234375}",nli_grouped_softmax
rel_1002_7530_1003,1002,7530,7530,7531,1003,9,3,"{""https://example.org/nlp-sdai/narrative-entity-ontology#movesToward"": -1.5537109375, ""https://example.org/nlp-sdai/narrative-entity-ontology#holdsAttitudeToward"": -1.021484375, ""https://example.org/nlp-sdai/narrative-entity-ontology#harms"": -1.986328125, ""https://example.org/nlp-sdai/narrative-entity-ontology#guides"": -1.6318359375, ""https://example.org/nlp-sdai/narrative-entity-ontology#accompanies"": -2.310546875}",nli_grouped_softmax
rel_1002_7530_1004,1002,7530,7530,7531,1004,9,14,"{""https://example.org/nlp-sdai/narrative-entity-ontology#movesToward"": -1.0556640625, ""https://example.org/nlp-sdai/narrative-entity-ontology#holdsAttitudeToward"": -0.61962890625, ""https://example.org/nlp-sdai/narrative-entity-ontology#harms"": -2.041015625, ""https://example.org/nlp-sdai/narrative-entity-ontology#guides"": -1.05859375, ""https://example.org/nlp-sdai/narrative-entity-ontology#accompanies"": -1.5908203125}",nli_grouped_softmax
rel_1005_7537_1006,1005,7537,7537,7539,1006,15,11,"{""https://example.org/nlp-sdai/narrative-entity-ontology#locatedIn"": 0.0}",single_candidate_router
rel_1016_7612_1017,1016,7612,7612,7616,1017,3,14,"{""https://example.org/nlp-sdai/narrative-entity-ontology#movesToward"": -0.56982421875, ""https://example.org/nlp-sdai/narrative-entity-ontology#holdsAttitudeToward"": -0.61376953125, ""https://example.org/nlp-sdai/narrative-entity-ontology#harms"": -1.896484375, ""https://example.org/nlp-sdai/narrative-entity-ontology#guides"": -0.64306640625, ""https://example.org/nlp-sdai/narrative-entity-ontology#accompanies"": -0.437255859375}",nli_grouped_softmax
rel_1018_7642_1019,1018,7642,7642,7644,1019,15,16,"{""https://example.org/nlp-sdai/narrative-entity-ontology#locatedIn"": 0.0}",single_candidate_router
rel_1051_7880_1052,1051,7880,7880,7881,1052,14,3,"{""https://example.org/nlp-sdai/narrative-entity-ontology#movesToward"": -0.8291015625, ""https://example.org/nlp-sdai/narrative-entity-ontology#holdsAttitudeToward"": -0.69287109375, ""https://example.org/nlp-sdai/narrative-entity-ontology#harms"": -2.451171875, ""https://example.org/nlp-sdai/narrative-entity-ontology#guides"": 0.011138916015625, ""https://example.org/nlp-sdai/narrative-entity-ontology#accompanies"": -0.95263671875}",nli_grouped_softmax
